,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,"-489,218",-2.03,"-2,136,407",-7.45,"1,649,359",5.48,"1,908,817",1.64,"2,318,385",8.68,"-3,081,800",-9.67,"-787,040",-2.62,"826,077",0.7,"114,595",0.53,"-1,061,188",-4.25,"-2,989,773",-13.18,"-2,989,773",-13.18,"-48,530",-0.27,"-5,141,341",-5.49,"1,131,470",5.06,"243,381",0.27
其他利益及損失淨額,"355,405",1.47,"-113,347",-0.4,0,0.0,"185,044",0.16,"-153,671",-0.58,"-21,318",-0.07,"-69,844",-0.23,"-240,371",-0.2,"-144,414",-0.67,"-137,577",-0.55,"-1,182,086",-5.21,"-1,182,086",-5.21,"-67,081",-0.38,"-2,078,936",-2.22,"-263,135",-1.18,"-2,585,948",-2.89
其他收入,"335,010",1.39,"373,833",1.3,"842,310",2.8,"1,968,187",1.7,"230,627",0.86,"474,257",1.49,"736,932",2.45,"2,238,549",1.89,"222,029",1.04,"652,071",2.61,"618,097",2.72,"618,097",2.72,"216,835",1.22,"2,207,830",2.36,"691,231",3.09,"2,004,375",2.24
其他營業成本,,,,,"23,052,350",76.57,,,,,,,,,,,,,,,,,,,,,,,,,,
其他綜合損益,,,,,,,"-68,042",-0.06,,,,,,,,,,,,,,,,,,,,,,,,
其他綜合損益（淨額）,"1,284,445",5.33,"-1,221,944",-4.26,"1,425,980",4.74,"6,121,882",5.27,"1,841,792",6.89,"-4,396,675",-13.79,"1,171,991",3.89,"3,225,651",2.73,"-772,223",-3.6,"-2,139,392",-8.56,"-290,116",-1.28,"-290,116",-1.28,"-828,511",-4.67,"-7,518,044",-8.03,"-1,868,415",-8.36,"-6,987,714",-7.8
國外營運機構財務報表換算之兌換差額,"1,544,517",6.41,"818,972",2.86,"-139,049",-0.46,"3,480,277",3.0,"-501,010",-1.88,"-1,153,962",-3.62,"1,757,546",5.84,"2,106,968",1.78,"-789,178",-3.68,"-983,216",-3.93,"2,374,207",10.47,"2,374,207",10.47,"-670,131",-3.78,"-1,828,277",-1.95,"-2,747,322",-12.29,"-7,055,040",-7.88
基本每股盈餘,0.38,,0.70,,0.97,,2.72,,0.50,,0.86,,0.87,,2.93,,0.22,,0.61,,0.26,,0.26,,0.06,,1.56,,0.63,,1.72,
所得稅費用（利益）合計,"341,165",1.41,"806,669",2.81,"1,173,759",3.9,"3,485,773",3.0,"759,611",2.84,"1,457,502",4.57,"1,161,937",3.86,"4,614,844",3.9,"495,349",2.31,"514,664",2.06,"181,884",0.8,"181,884",0.8,"183,320",1.03,"1,740,389",1.86,"741,847",3.32,"2,673,260",2.98
採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,"205,492",0.85,"87,318",0.3,"-70,575",-0.23,"353,156",0.3,"17,020",0.06,"-151,297",-0.47,"186,357",0.62,"331,223",0.28,,,,,,,,,,,"-1,476",0.0,,,"-6,193",-0.01
採用權益法認列之關聯企業及合資損益之份額淨額,"151,905",0.63,"207,637",0.72,"292,232",0.97,"585,550",0.5,"271,861",1.02,"365,369",1.15,"360,453",1.2,"1,250,088",1.06,"181,127",0.84,"228,634",0.91,"221,674",0.98,"221,674",0.98,"149,029",0.84,"737,161",0.79,"285,827",1.28,"979,609",1.09
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,,,,,,,,,,,,,,,,,"-72,913",-0.34,"-96,511",-0.39,"322,462",1.42,"322,462",1.42,"-99,757",-0.56,"6,015",0.01,"-252,658",-1.13,"-493,741",-0.55
推銷費用,"221,917",0.92,"270,217",0.94,"248,458",0.83,"1,019,186",0.88,"233,190",0.87,"227,869",0.71,"238,759",0.79,"964,818",0.82,"227,338",1.06,"229,300",0.92,"199,106",0.88,"199,106",0.88,"186,039",1.05,"859,723",0.92,"173,775",0.78,"733,021",0.82
本期淨利（淨損）,"1,999,624",8.29,"3,802,105",13.26,"5,344,662",17.75,"15,118,683",13.02,"2,791,235",10.45,"4,828,695",15.15,"4,934,486",16.4,"16,583,876",14.02,"974,518",4.55,"2,727,845",10.91,"989,427",4.36,"989,427",4.36,"94,527",0.53,"6,925,626",7.39,"3,283,221",14.69,"8,842,075",9.87
本期綜合損益總額,"3,284,069",13.62,"2,580,161",9.0,"6,770,642",22.49,"21,240,565",18.3,"4,633,027",17.34,"432,020",1.36,"6,106,477",20.29,"19,809,527",16.74,"202,295",0.94,"588,453",2.35,"699,311",3.08,"699,311",3.08,"-733,984",-4.14,"-592,418",-0.63,"1,414,806",6.33,"1,854,361",2.07
母公司業主（淨利／損）,"1,413,035",5.86,"2,586,787",9.02,"3,594,193",11.94,"10,026,731",8.64,"1,833,139",6.86,"3,195,746",10.03,"3,215,834",10.69,"10,828,868",9.15,"808,778",3.77,"2,243,129",8.97,"948,745",4.18,"948,745",4.18,"220,995",1.25,"5,775,989",6.17,"2,321,292",10.39,"6,358,452",7.1
母公司業主（綜合損益）,"1,911,110",7.93,"949,640",3.31,"5,025,600",16.69,"14,336,481",12.35,"4,015,175",15.03,"-754,894",-2.37,"3,621,052",12.03,"13,340,699",11.27,"349,121",1.63,"512,044",2.05,"-255,288",-1.13,"-255,288",-1.13,"-333,525",-1.88,"-806,454",-0.86,"1,617,077",7.24,"2,411,113",2.69
營業利益（損失）,"2,026,729",8.4,"4,588,992",16.01,"5,910,634",19.63,"17,775,975",15.31,"3,684,224",13.79,"5,938,317",18.63,"5,544,164",18.42,"19,857,669",16.78,"1,693,508",7.9,"2,917,631",11.67,"1,996,477",8.8,"1,996,477",8.8,"483,889",2.73,"9,673,699",10.33,"3,780,535",16.92,"13,034,136",14.55
