,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,"-267,500",-36.09,"-591,730",-56.29,"1,589,534",168.08,"3,562,008",83.45,"331,277",32.5,"-1,708,649",-191.97,"-80,371",-8.85,"-1,515,104",-38.48,"-247,954",-36.93,"-1,207,176",-163.7,"-3,115,400",-567.65,"-5,157,635",-182.47,"182,681",33.75,"-462,611",-56.4,"2,599,130",349.73,"2,037,927",64.9
其他利益及損失淨額,"190,636",25.72,"-64,130",-6.1,"129,177",13.66,"604,890",14.17,"23,990",2.35,"-143,516",-16.12,"63,195",6.96,"-248,417",-6.31,"-2,986",-0.44,"-11,575",-1.57,"-422,650",-77.01,"-591,281",-20.92,"-60,259",-11.13,"-53,957",-6.58,"123,985",16.68,"43,582",1.39
其他收入,"37,846",5.11,"142,843",13.59,"232,074",24.54,"488,267",11.44,"28,221",2.77,"334,821",37.62,"271,941",29.93,"727,550",18.48,"36,706",5.47,"341,477",46.31,"311,663",56.79,"720,661",25.5,"29,661",5.48,"138,371",16.87,"129,757",17.46,"722,124",23.0
其他收益及費損淨額,,,,,,,"654,569",15.34,,,,,,,0,0.0,,,"39,907",5.41,"6,074",1.11,"980,475",34.69,,,0,0.0,0,0.0,0,0.0
其他營業成本,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
其他營業收入淨額,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
其他綜合損益,"-40,917",-5.52,"-14,381",-1.37,"16,151",1.71,"-79,472",-1.86,"-38,065",-3.73,"39,439",4.43,"-24,274",-2.67,"-128,336",-3.26,,,,,,,,,,,,,,,,
其他綜合損益（淨額）,"-47,330",-6.39,"-509,233",-48.45,"1,504,967",159.13,"3,889,029",91.11,"530,985",52.09,"-1,908,583",-214.43,"44,348",4.88,"-1,045,280",-26.55,"-450,076",-67.04,"-1,261,037",-171.0,"-2,822,732",-514.33,"-5,168,459",-182.86,"126,972",23.46,"-486,403",-59.3,"2,388,414",321.38,"1,836,923",58.5
勞務成本,"218,725",29.51,"247,554",23.55,"238,264",25.19,"924,090",21.65,"232,260",22.78,"236,984",26.63,"228,805",25.18,"923,088",23.44,"158,683",23.64,"156,702",21.25,"154,072",28.07,"630,157",22.29,"152,490",28.18,"182,361",22.23,"182,024",24.49,"642,801",20.47
勞務收入,"209,446",28.26,"249,631",23.75,"241,873",25.58,"975,713",22.86,"236,060",23.16,"281,772",31.66,"252,710",27.82,"1,025,600",26.05,"164,009",24.43,"171,175",23.21,"148,306",27.02,"672,328",23.79,"160,886",29.73,"221,413",26.99,"247,276",33.27,"884,616",28.17
國外營運機構財務報表換算之兌換差額,"261,087",35.23,"96,878",9.22,"-100,718",-10.65,"395,422",9.26,"237,773",23.32,"-239,373",-26.89,"148,993",16.4,"610,930",15.51,"-242,379",-36.1,"-64,441",-8.74,"350,626",63.89,"-8,515",-0.3,"-70,501",-13.03,"-30,270",-3.69,"-247,279",-33.27,"-269,718",-8.59
基本每股盈餘,0.13,,-0.05,,0.29,,1.97,,-0.06,,0.06,,0.24,,0.03,,-0.29,,0.17,,-0.50,,0.34,,-0.29,,-0.10,,0.21,,0.04,
