,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不動產、廠房及設備轉列費用數,"4,468","4,654","5,337","8,652",140,305,"4,637","4,637",0,0,0,0,,,,
不影響現金流量之收益費損項目合計,"-103,983","-259,277","-431,909","-828,630","-157,009","-438,882","-830,964","-1,095,858",,,,,,,,
備供出售金融資產減資退回股款,,,,,,"7,271","7,271","7,271",,165,165,165,,0,0,0
其他應付款增加（減少）,"-4,674","24,020","6,585","28,093","-17,299","-3,064","-7,624","15,002","-36,937","-40,871","-31,074","-4,702","-29,679","-24,860",830,"20,003"
其他應收款（增加）減少,"3,168","-116,613","-12,145","-3,057",-453,"-99,639","-5,318","12,075","-4,864","-14,566","-4,213","-2,215","-8,129","-5,810","-8,454",631
其他流動負債增加（減少）,"5,567","4,864","1,718","3,545","8,009","13,208","14,829","2,782","7,362","5,067","7,945",259,"8,943","8,548","11,693",-397
其他流動資產（增加）減少,-369,"-23,411","-23,105","-13,777","-3,395","8,528","-7,186","6,343","-2,944","3,611","-1,916","-5,860","-3,848","-4,320",-225,"10,144"
其他金融資產增加,"-28,598","-18,677","51,106","50,673","-12,242","-72,703","-53,096","-70,559","-13,436","-8,616","3,538",478,"-3,948","-32,792","-29,516","7,160"
其他非流動資產增加,,,,,0,,,,-74,,,,87,,,
其他非流動資產減少,-9,-9,"10,097","8,734",93,91,91,95,0,-60,-158,52,,84,-71,258
其他項目,"-3,859","-3,859","-3,859",,,,,,,,,227,,,,0
利息收入,-285,-749,"-1,513","-2,178",-676,"-1,616","-2,550","-3,662",-557,"-1,200","-1,859","-2,850",-663,"-1,411","-1,916","-2,366"
利息費用,"1,179","2,938","4,888","6,823","2,320","4,676","7,308","10,142","3,267","6,679","10,458","14,594","4,186","8,543","12,643","16,732"
匯率變動對現金及約當現金之影響,"2,439","4,181","4,058","2,112",188,16,173,352,-40,-89,137,-127,0,0,0,0
取得不動產、廠房及設備,"-106,433","-127,840","-214,039","-272,478","-49,152","-67,353","-93,108","-226,200","-343,834","-460,122","-502,501","-600,661","-83,315","-247,330","-384,130","-413,395"
取得備供出售金融資產,"-229,848","-500,224","-500,224","-500,287","-145,325","-145,325","-176,838","-189,925","-12,978","-12,977","-12,977","-13,204",0,0,0,0
取得採用權益法之投資,,,,,,,,,,,,,"-38,250","-38,250","-38,250","-38,250"
取得無形資產,-172,-104,-185,-297,0,-67,-67,-67,,-92,-92,-303,-39,-570,-708,-842
呆帳費用提列（轉列收入）數,"-1,027","-1,102",-161,536,474,853,836,890,431,639,"2,017","2,612",756,"5,499","8,045","6,438"
存入保證金增加,0,"10,856",224,569,-9,"1,041","1,768","1,798",0,-30,-20,-20,,134,134,134
存貨（增加）減少,"78,966","29,950","-8,168","-6,240","34,758","-16,461","26,958","14,531","-4,144","8,921","39,908","-12,076","42,090","37,476","24,040","28,855"
應付帳款增加（減少）,"-32,243","-18,082","-1,543","39,768","-63,329","-19,007","-39,757","-24,164","-26,424","-35,959","-94,346","24,834","-156,602","-124,996","-114,484","8,182"
應付帳款－關係人增加（減少）,"-101,490","-98,946","-84,668","-34,074","-32,968","-13,155","-35,591","1,396","-34,915","-49,171","-48,057","-9,244","-38,945","-63,205","-120,148","-59,643"
應付短期票券增加,"145,000","5,000",,"194,875",0,0,"359,811","99,945","400,096",,,"330,000","320,000",,,"-90,000"
應付短期票券減少,,,"-5,000",,"-199,879","-199,875",0,,0,"-100,006","500,022",,,"-130,063","310,055",
應付票據增加（減少）,"-64,880","-4,790","3,137","30,072","-50,667","-39,253","-50,460","-27,161","-34,426","-74,749","-97,545","-78,582","-53,786","4,137","-9,011","-15,993"
應付票據－關係人增加（減少）,"-42,222","-34,900","-38,713","-25,543","-12,063","3,164","-1,076","5,034","-14,554","4,768","13,745","28,717","-26,351","-23,571","-48,529","-42,212"
應收帳款（增加）減少,"70,525","76,586","20,957","-89,795","34,357","-48,728","49,263","31,036","47,330","100,567","114,296","11,382","123,432","105,224","180,452","74,011"
應收帳款－關係人（增加）減少,"21,487","25,979","44,156","34,862","21,186","84,842","76,892","47,094","22,357","13,337","29,907","23,881","-25,643","-25,964","-28,024","-56,652"
應收票據（增加）減少,"21,600",-981,"81,460","2,099","57,106","-53,341","-91,195","-136,296","129,333","129,776","150,670","127,026","84,713","71,856","137,900","46,155"
應收票據－關係人（增加）減少,"3,393","13,525","-7,878","-12,019","7,627","44,173","44,173","44,173","-1,997",0,0,0,0,,,
應計退休金負債增加（減少）,"1,380",258,"1,588","1,940","-3,632","-2,491","-1,321","5,831",,,,,,,,
投資活動之淨現金流入（流出）,"-227,533","-382,301","-365,949","-417,900","-204,507","-271,424","-309,005","-470,658","-370,157","-481,659","-511,562","-613,010","-125,015","-318,408","-451,643","-444,014"
折舊費用,"30,664","62,358","95,019","124,615","32,471","65,244","98,031","130,795","33,314","66,721","100,673","134,733","33,336","64,015","93,148","119,674"
採用權益法認列之關聯企業及合資損失（利益）之份額,"-149,956","-337,272","-543,345","-843,929","-193,276","-506,426","-816,960","-1,120,584","-239,156","-446,383","-690,388","-1,100,028","-307,871","-613,027","-902,124","-1,317,217"
攤銷費用,"2,302","5,142","8,322","11,587","1,563","4,675","7,741","11,674","2,077","3,179","5,197","6,895",170,804,"1,287","1,698"
支付之利息,"-1,158","-2,934","-4,876","-6,811","-2,320","-4,618","-7,278","-9,942","-3,693","-6,794","-11,185","-14,787","-4,283","-8,450","-13,197","-16,565"
收取之利息,269,715,"1,840","2,505",676,"1,592","2,607","3,670",556,"1,181","1,849","2,840",662,"1,368","1,933","2,465"
收取之股利,,0,"151,108","289,491",,"1,710","328,351","328,768",,"34,946","436,384","436,326",,"34,410","477,771","477,771"
收益費損項目合計,,,,,,,,,"-198,952","-532,262","-736,222","-1,106,076","-270,536","-713,528","-967,355","-1,353,503"
期初現金及約當現金餘額,"253,472","253,472","253,472","253,472","429,215","429,215","429,215","429,215","396,132","396,132","396,132","396,132","395,027","395,027","395,027","395,027"
期末現金及約當現金餘額,"298,781","304,381","356,502","429,215","401,545","325,334","373,266","396,132","295,188","269,261","360,821","395,027","435,873","348,082","230,916","197,262"
本期現金及約當現金增加（減少）數,"45,309","50,909","103,030","175,743","-27,670","-103,881","-55,949","-33,083","-100,944","-126,871","-35,311","-1,105","40,846","-46,945","-164,111","-197,765"
本期稅前淨利（淨損）,"186,259","541,368","779,028","1,148,493","251,967","744,679","1,114,236","1,468,035","269,734","671,506","983,038","1,471,598","342,879","908,016","1,278,736","1,778,522"
淨確定福利負債增加(減少),,,,,,,,,819,"-8,577","-10,238","-7,456","-126,299","-125,130","-123,956","-122,907"
營業活動之淨現金流入（流出）,"40,178","137,003","469,388","548,411","73,895","133,017","549,124","660,215","119,876","173,749","705,013","847,608","-134,848","10,850","638,069","741,025"
營運產生之現金流入（流出）,"39,913","149,937","319,785","261,688","73,268","155,131","245,737","358,541","119,329","177,462","307,121","450,878","-135,542","24,784","208,607","314,596"
發放現金股利,-3,-3,"-452,922","-452,922",-38,-38,"-543,541","-543,543",0,0,"-615,970","-615,970",-8,-8,"-628,321","-628,321"
短期借款增加,"78,000","288,000","482,000","306,000","305,000","238,000","-98,000","238,000","-247,000","297,000","-109,000","58,000","-15,000","399,000","-5,000","242,000"
籌資活動之淨現金流入（流出）,"230,225","292,026","-4,467","43,120","102,754","34,510","-296,241","-222,992","149,377","181,128","-228,899","-235,576","300,709","260,613","-350,537","-494,776"
繼續營業單位稅前淨利（淨損）,"186,259","541,368","779,028","1,148,493","251,967","744,679","1,114,236","1,468,035","269,734","671,506","983,038","1,471,598","342,879","908,016","1,278,736","1,778,522"
股利收入,,,,"-136,672",,,"-123,484","-123,901",,"-163,526","-163,529","-163,469",,"-177,517","-177,518","-177,518"
與營業活動相關之負債之淨變動合計,"-238,562","-127,576","-111,896","43,801","-171,949","-60,598","-121,000","-21,280","-139,075","-199,492","-259,570","-46,174","-422,719","-349,077","-403,605","-212,967"
與營業活動相關之資產之淨變動合計,"196,199","-4,578","84,562","-101,976","150,259","-90,068","83,465","7,644","187,622","237,710","319,875","131,530","214,834","179,373","300,831","102,544"
與營業活動相關之資產及負債之淨變動合計,"-42,363","-132,154","-27,334","-58,175","-21,690","-150,666","-37,535","-13,636","48,547","38,218","60,305","85,356","-207,885","-169,704","-102,774","-110,423"
處分不動產、廠房及設備,"1,398","2,065","3,194","11,590",350,507,587,587,0,43,463,463,450,450,"1,032","1,055"
處分備供出售金融資產,"136,129","174,502","196,116","196,179","1,769","6,155","6,155","8,140",165,0,0,0,0,,,
處分其他資產損失（利益）,,"2,073","2,073","2,073",,0,0,0,,,,,,,,
