,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,2849330.0,55.04,3000667.0,57.05,3088501.0,56.72,3153532.0,55.29,3206373.0,55.97,3223326.0,55.62,3262251.0,58.14,3295504.0,50.98,3286211.0,51.12,3280895.0,52.15,3387798.0,55.96,3386624.0,53.03,3386226.0,54.53,3386250.0,54.01,3344090.0,52.32,3357714.0,54.1
以成本衡量之金融資產－非流動淨額,4593.0,0.09,2986.0,0.06,1769.0,0.03,1092.0,0.02,698.0,0.01,114.0,0.0,114.0,0.0,0.0,0.0,3419.0,0.05,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
保留盈餘合計,452888.0,8.75,421941.0,8.02,511046.0,9.39,551204.0,9.66,612116.0,10.69,443269.0,7.65,421365.0,7.51,471365.0,7.29,445024.0,6.92,306303.0,4.87,289539.0,4.78,352592.0,5.52,336157.0,5.41,236911.0,3.78,230717.0,3.61,284429.0,4.58
備供出售金融資產未實現損益,,,-1294.0,-0.02,-2273.0,-0.04,-3688.0,-0.06,21463.0,0.37,13813.0,0.24,-4077.0,-0.07,-7235.0,-0.11,85920.0,1.34,44130.0,0.7,20663.0,0.34,,,,,,,,,,
備供出售金融資產－流動淨額,9526.0,0.18,4475.0,0.09,6475.0,0.12,6475.0,0.11,6475.0,0.11,6475.0,0.11,6475.0,0.12,6601.0,0.1,6601.0,0.1,6601.0,0.1,6601.0,0.11,6628.0,0.1,6633.0,0.11,6645.0,0.11,6660.0,0.1,6660.0,0.11
備供出售金融資產－非流動淨額,,,90420.0,1.72,88357.0,1.62,85534.0,1.5,135677.0,2.37,120428.0,2.08,118538.0,2.11,110193.0,1.7,320686.0,4.99,226259.0,3.6,173231.0,2.86,238337.0,3.73,200466.0,3.23,179974.0,2.87,219284.0,3.43,90435.0,1.46
其他應付款,179723.0,3.47,253398.0,4.82,185381.0,3.4,253993.0,4.45,196111.0,3.42,320000.0,5.52,201465.0,3.59,349339.0,5.4,253506.0,3.94,326179.0,5.18,178224.0,2.94,238030.0,3.73,203497.0,3.28,238467.0,3.8,227544.0,3.56,248483.0,4.0
其他應收款淨額,42105.0,0.81,42952.0,0.82,43480.0,0.8,46933.0,0.82,30096.0,0.53,74280.0,1.28,75998.0,1.35,82724.0,1.28,62374.0,0.97,72116.0,1.15,31447.0,0.52,53019.0,0.83,30379.0,0.49,58606.0,0.93,22079.0,0.35,10385.0,0.17
其他權益合計,-1188.0,-0.02,2643.0,0.05,-7301.0,-0.13,2180.0,0.04,23742.0,0.41,6543.0,0.11,2358.0,0.04,20393.0,0.32,99579.0,1.55,48998.0,0.78,51518.0,0.85,53808.0,0.84,36914.0,0.59,10290.0,0.16,3431.0,0.05,-26832.0,-0.43
其他流動負債,154285.0,2.98,135159.0,2.57,478487.0,8.79,208836.0,3.66,225752.0,3.94,199065.0,3.43,200483.0,3.57,187278.0,2.9,200471.0,3.12,195236.0,3.1,194976.0,3.22,227429.0,3.56,221146.0,3.56,234484.0,3.74,203970.0,3.19,174937.0,2.82
其他流動資產,20663.0,0.4,16440.0,0.31,15293.0,0.28,19034.0,0.33,11483.0,0.2,15494.0,0.27,17091.0,0.3,2214.0,0.03,333.0,0.01,174.0,0.0,618.0,0.01,3643.0,0.06,249.0,0.0,202.0,0.0,648.0,0.01,2481.0,0.04
其他非流動負債,160449.0,3.1,159080.0,3.02,154831.0,2.84,184449.0,3.23,182070.0,3.18,194361.0,3.35,196521.0,3.5,211988.0,3.28,205712.0,3.2,206410.0,3.28,214349.0,3.54,350434.0,5.49,293849.0,4.73,289363.0,4.62,284104.0,4.44,278460.0,4.49
其他非流動資產,103059.0,1.99,114130.0,2.17,119569.0,2.2,149721.0,2.63,115142.0,2.01,62465.0,1.08,59515.0,1.06,68590.0,1.06,72235.0,1.12,74512.0,1.18,76291.0,1.26,81048.0,1.27,88351.0,1.42,78720.0,1.26,66716.0,1.04,58485.0,0.94
國外營運機構財務報表換算之兌換差額,-1188.0,-0.02,3937.0,0.07,-5028.0,-0.09,5868.0,0.1,2279.0,0.04,-7270.0,-0.13,6435.0,0.11,27628.0,0.43,13659.0,0.21,4868.0,0.08,30855.0,0.51,,,,,,,,,,
存貨,581918.0,11.24,617381.0,11.74,560903.0,10.3,734554.0,12.88,733676.0,12.81,733899.0,12.66,813778.0,14.5,861872.0,13.33,821962.0,12.79,766336.0,12.18,783763.0,12.95,697559.0,10.92,706075.0,11.37,701389.0,11.19,643970.0,10.07,611564.0,9.85
庫藏股票,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
待出售非流動資產（淨額）,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待分配股票股利,,,,,,,,,,,119460.0,2.06,,,,,,,0.0,0.0,,,,,,,64509.0,1.03,,,,
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,
應付帳款,93179.0,1.8,64984.0,1.24,87221.0,1.6,138663.0,2.43,114790.0,2.0,122291.0,2.11,91841.0,1.64,98481.0,1.52,72384.0,1.13,84726.0,1.35,76656.0,1.27,151859.0,2.38,188339.0,3.03,175772.0,2.8,165033.0,2.58,185143.0,2.98
應付票據,111216.0,2.15,113703.0,2.16,114501.0,2.1,152305.0,2.67,115089.0,2.01,95367.0,1.65,133458.0,2.38,124655.0,1.93,101615.0,1.58,88891.0,1.41,108450.0,1.79,55368.0,0.87,4045.0,0.07,1833.0,0.03,2448.0,0.04,849.0,0.01
應收帳款淨額,311440.0,6.02,337185.0,6.41,325499.0,5.98,382921.0,6.71,397533.0,6.94,369109.0,6.37,307802.0,5.49,377860.0,5.85,331265.0,5.15,311872.0,4.96,305011.0,5.04,396948.0,6.22,344773.0,5.55,343640.0,5.48,334086.0,5.23,403120.0,6.5
應收票據淨額,85229.0,1.65,91524.0,1.74,77886.0,1.43,78033.0,1.37,71434.0,1.25,75626.0,1.3,74236.0,1.32,83601.0,1.29,84223.0,1.31,83214.0,1.32,105378.0,1.74,99315.0,1.56,106724.0,1.72,106205.0,1.69,104512.0,1.64,144605.0,2.33
採用權益法之投資淨額,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普通股股本,1493252.0,28.85,1493252.0,28.39,1493252.0,27.42,1493252.0,26.18,1493252.0,26.07,1493252.0,25.77,1612712.0,28.74,1612712.0,24.95,1612712.0,25.09,1612712.0,25.64,1612712.0,26.64,1612712.0,25.25,1612712.0,25.97,1612712.0,25.72,1677221.0,26.24,1677221.0,27.02
未分配盈餘（或待彌補虧損）,254625.0,4.92,211548.0,4.02,300653.0,5.52,340811.0,5.98,401723.0,7.01,245807.0,4.24,223903.0,3.99,273903.0,4.24,247562.0,3.85,92501.0,1.47,75737.0,1.25,138790.0,2.17,122355.0,1.97,21714.0,0.35,15520.0,0.24,69232.0,1.12
本期所得稅負債,,,,,,,,,,,,,,,,,24005.0,0.37,6667.0,0.11,6416.0,0.11,23642.0,0.37,20168.0,0.32,1998.0,0.03,36.0,0.0,12140.0,0.2
權益總計,,,,,,,,,,,,,,,,,4210289.0,65.5,3944210.0,62.7,3866559.0,63.87,3960391.0,62.01,3879770.0,62.47,3768103.0,60.11,3796212.0,59.39,3782057.0,60.94
權益總額,3337891.0,64.48,3307882.0,62.89,3455092.0,63.45,3494040.0,61.26,3593264.0,62.73,3506118.0,60.5,3431037.0,61.15,4078543.0,63.1,,,,,,,,,,,,,,,,
歸屬於母公司業主之權益合計,2855343.0,55.16,2826277.0,53.74,2958526.0,54.33,3008164.0,52.74,3090638.0,53.95,3024052.0,52.18,2997963.0,53.43,3304230.0,51.12,3357075.0,52.23,3167773.0,50.35,3153529.0,52.09,3218872.0,50.4,3185543.0,51.29,3124182.0,49.83,3075209.0,48.11,3091731.0,49.82
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
法定盈餘公積,117312.0,2.27,129442.0,2.46,129442.0,2.38,129442.0,2.27,129442.0,2.26,159511.0,2.75,159511.0,2.84,159511.0,2.47,159511.0,2.48,175851.0,2.8,175851.0,2.9,175851.0,2.75,175851.0,2.83,177246.0,2.83,177246.0,2.77,177246.0,2.86
流動負債合計,736792.0,14.23,815952.0,15.51,1128695.0,20.73,1219497.0,21.38,871181.0,15.21,912572.0,15.75,782359.0,13.94,1133994.0,17.54,983981.0,15.31,1063699.0,16.91,908722.0,15.01,1022328.0,16.01,993195.0,15.99,998554.0,15.93,1059031.0,16.57,933552.0,15.04
流動資產合計,2146593.0,41.47,1974814.0,37.55,2083294.0,38.26,2233961.0,39.17,2190839.0,38.25,2316555.0,39.97,2077523.0,37.03,2785175.0,43.09,2544313.0,39.58,2513646.0,39.96,2227432.0,36.79,2320479.0,36.33,2181007.0,35.12,2278964.0,36.35,2418445.0,37.83,2362839.0,38.07
無形資產,37895.0,0.73,43145.0,0.82,42046.0,0.77,39993.0,0.7,47221.0,0.82,46237.0,0.8,71053.0,1.27,185653.0,2.87,179988.0,2.8,173052.0,2.75,165777.0,2.74,334928.0,5.24,330119.0,5.32,321919.0,5.13,315749.0,4.94,304003.0,4.9
無活絡市場之債券投資－流動淨額,204500.0,3.95,282861.0,5.38,195317.0,3.59,131590.0,2.31,209588.0,3.66,204534.0,3.53,164444.0,2.93,153375.0,2.37,,,,,,,,,,,,,,,,
無活絡市場之債務工具投資－流動淨額,,,,,,,,,,,,,,,,,84601.0,1.32,69622.0,1.11,62111.0,1.03,99900.0,1.56,149159.0,2.4,118703.0,1.89,138443.0,2.17,38552.0,0.62
特別盈餘公積,80951.0,1.56,80951.0,1.54,80951.0,1.49,80951.0,1.42,80951.0,1.41,37951.0,0.65,37951.0,0.68,37951.0,0.59,37951.0,0.59,37951.0,0.6,37951.0,0.63,37951.0,0.59,37951.0,0.61,37951.0,0.61,37951.0,0.59,37951.0,0.61
現金及約當現金,797891.0,15.41,536430.0,10.2,757227.0,13.91,756380.0,13.26,650040.0,11.35,788476.0,13.61,577524.0,10.29,1166822.0,18.05,1093196.0,17.01,1142947.0,18.17,881765.0,14.56,917006.0,14.36,796401.0,12.82,891212.0,14.22,1118120.0,17.49,1094920.0,17.64
當期所得稅負債,30359.0,0.59,14077.0,0.27,25015.0,0.46,50862.0,0.89,49439.0,0.86,35849.0,0.62,15112.0,0.27,42241.0,0.65,,,,,,,,,,,,,,,,
短期借款,168030.0,3.25,234631.0,4.46,238090.0,4.37,414838.0,7.27,170000.0,2.97,140000.0,2.42,140000.0,2.5,332000.0,5.14,332000.0,5.16,362000.0,5.75,344000.0,5.68,326000.0,5.1,356000.0,5.73,346000.0,5.52,460000.0,7.2,312000.0,5.03
股本合計,1493252.0,28.85,1493252.0,28.39,1493252.0,27.42,1493252.0,26.18,1493252.0,26.07,1612712.0,27.83,1612712.0,28.74,1612712.0,24.95,1612712.0,25.09,1612712.0,25.64,1612712.0,26.64,1612712.0,25.25,1612712.0,25.97,1677221.0,26.75,1677221.0,26.24,1677221.0,27.02
負債及權益總計,,,,,,,,,,,,,,,,,6428064.0,100.0,6290915.0,100.0,6054169.0,100.0,6386654.0,100.0,6210392.0,100.0,6269144.0,100.0,6392138.0,100.0,6206418.0,100.0
負債總計,,,,,,,,,,,,,,,,,2217775.0,34.5,2346705.0,37.3,2187610.0,36.13,2426263.0,37.99,2330622.0,37.53,2501041.0,39.89,2595926.0,40.61,2424361.0,39.06
負債總額,1838622.0,35.52,1951735.0,37.11,1990131.0,36.55,2209409.0,38.74,2135021.0,37.27,2289285.0,39.5,2179720.0,38.85,2385360.0,36.9,,,,,,,,,,,,,,,,
資本公積合計,910391.0,17.59,908441.0,17.27,961529.0,17.66,961528.0,16.86,961528.0,16.79,961528.0,16.59,961528.0,17.14,1199760.0,18.56,1199760.0,18.66,1199760.0,19.07,1199760.0,19.82,1199760.0,18.79,1199760.0,19.32,1199760.0,19.14,1163840.0,18.21,1156913.0,18.64
資本公積－實際取得或處分子公司股權價格與帳面價值差額,,,,,,,,,247834.0,4.33,,,,,,,,,,,,,,,,,,,,,,
資本公積－發行溢價,,,,,,,,,713694.0,12.46,,,,,,,,,,,,,,,,,,,,,,
資產總計,,,,,,,,,,,,,,,,,6428064.0,100.0,6290915.0,100.0,6054169.0,100.0,6386654.0,100.0,6210392.0,100.0,6269144.0,100.0,6392138.0,100.0,6206418.0,100.0
資產總額,5176513.0,100.0,5259617.0,100.0,5445223.0,100.0,5703449.0,100.0,5728285.0,100.0,5795403.0,100.0,5610757.0,100.0,6463903.0,100.0,,,,,,,,,,,,,,,,
遞延所得稅資產,35043.0,0.68,33455.0,0.64,21687.0,0.4,39616.0,0.69,32335.0,0.56,26278.0,0.45,21763.0,0.39,18788.0,0.29,21212.0,0.33,22551.0,0.36,23640.0,0.39,25238.0,0.4,24223.0,0.39,23317.0,0.37,27854.0,0.44,32942.0,0.53
長期借款,941381.0,18.19,976703.0,18.57,706605.0,12.98,805463.0,14.12,1081770.0,18.88,1182352.0,20.4,1200840.0,21.4,1039378.0,16.08,1028082.0,15.99,1076596.0,17.11,1064539.0,17.58,1053501.0,16.5,1043578.0,16.8,1213124.0,19.35,1252791.0,19.6,1212349.0,19.53
非控制權益,482548.0,9.32,481605.0,9.16,496566.0,9.12,485876.0,8.52,502626.0,8.77,482066.0,8.32,433074.0,7.72,774313.0,11.98,853214.0,13.27,776437.0,12.34,713030.0,11.78,741519.0,11.61,694227.0,11.18,643921.0,10.27,721003.0,11.28,690326.0,11.12
非流動負債合計,1101830.0,21.29,1135783.0,21.59,861436.0,15.82,989912.0,17.36,1263840.0,22.06,1376713.0,23.76,1397361.0,24.91,1251366.0,19.36,1233794.0,19.19,1283006.0,20.39,1278888.0,21.12,1403935.0,21.98,1337427.0,21.54,1502487.0,23.97,1536895.0,24.04,1490809.0,24.02
非流動資產合計,3029920.0,58.53,3284803.0,62.45,3361929.0,61.74,3469488.0,60.83,3537446.0,61.75,3478848.0,60.03,3533234.0,62.97,3678728.0,56.91,3883751.0,60.42,3777269.0,60.04,3826737.0,63.21,4066175.0,63.67,4029385.0,64.88,3990180.0,63.65,3973693.0,62.17,3843579.0,61.93
預付款項,93321.0,1.8,45566.0,0.87,101214.0,1.86,78041.0,1.37,80514.0,1.41,48662.0,0.84,40175.0,0.72,50106.0,0.78,59758.0,0.93,60764.0,0.97,50738.0,0.84,46461.0,0.73,40614.0,0.65,52362.0,0.84,49927.0,0.78,50552.0,0.81
預收股本,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
