,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不動產、廠房及設備轉列費用數,,98.0,,0.0,,196.0,,,591.0,591.0,590.0,590.0,347.0,344.0,338.0,333.0
不影響現金流量之收益費損項目合計,-132560.0,-103993.0,-60465.0,-3144.0,50010.0,101832.0,145332.0,201433.0,,,,,,,,
償還長期借款,-9616.0,0.0,0.0,-146279.0,-12651.0,,,-203134.0,-11460.0,-23108.0,-40826.0,-231035.0,-10099.0,-20391.0,-30565.0,-120921.0
其他應付款增加（減少）,9938.0,-4135.0,13738.0,83635.0,-59667.0,-42845.0,-52420.0,-24177.0,-30427.0,-31602.0,-56427.0,4445.0,-31239.0,-27484.0,-38800.0,6006.0
其他應收款（增加）減少,-5045.0,3730.0,3349.0,1465.0,15420.0,19737.0,21125.0,18721.0,21261.0,10964.0,51432.0,29893.0,22432.0,-4833.0,32395.0,42253.0
其他流動負債增加（減少）,-166.0,-197.0,868.0,725.0,645.0,-308.0,500.0,-185.0,3968.0,519.0,954.0,14891.0,1436.0,631.0,6521.0,1536.0
其他流動資產（增加）減少,-1051.0,3172.0,4319.0,578.0,7551.0,3540.0,1943.0,16820.0,1881.0,2040.0,1596.0,-1429.0,3394.0,3441.0,2995.0,1162.0
其他營業負債增加（減少）,,,,0.0,,,,10837.0,-3897.0,2168.0,4107.0,490.0,123.0,-472.0,-868.0,1388.0
其他籌資活動,,,,,,,,,,,,,,,143127.0,
其他金融負債減少,0.0,0.0,,,,,,,,,,,,,,
其他非流動負債增加,2175.0,266.0,346.0,35789.0,0.0,1462.0,1540.0,4244.0,,0.0,0.0,1835.0,,-33471.0,,-33435.0
其他非流動負債減少,,,0.0,,-38.0,,,,0.0,,,,-33697.0,,-33452.0,
其他非流動資產增加,-2858.0,-4524.0,-9572.0,-15815.0,-674.0,-2928.0,-5560.0,-25408.0,-3336.0,-8333.0,-9687.0,-17956.0,-8619.0,-9943.0,-16516.0,-23146.0
其他項目,,,,,,,,,,,,,,,,-10249.0
利息收入,-770.0,-3275.0,-6591.0,-9630.0,-2510.0,-5705.0,-9394.0,-13514.0,-3266.0,-7108.0,-10185.0,-12526.0,-2291.0,-4491.0,-6044.0,-8112.0
利息費用,5267.0,9299.0,13573.0,18561.0,4905.0,9816.0,15072.0,20268.0,5117.0,10310.0,15613.0,20674.0,5293.0,10555.0,16255.0,21799.0
匯率變動對現金及約當現金之影響,4926.0,5911.0,177.0,5695.0,-2953.0,-7667.0,-423.0,12970.0,-14233.0,-19777.0,-5360.0,-22120.0,2500.0,-6670.0,-22306.0,-26758.0
取得不動產、廠房及設備,-136019.0,-319161.0,-444817.0,-549066.0,-67868.0,-124888.0,-185630.0,-249370.0,-48125.0,-94866.0,-216156.0,-283383.0,-53187.0,-113564.0,-139418.0,-210619.0
取得以成本衡量之金融資產,,,0.0,0.0,,,,,-3419.0,-3419.0,-3419.0,-3419.0,0.0,0.0,0.0,-2791.0
取得備供出售金融資產,0.0,-92888.0,-94889.0,-94888.0,,0.0,-33779.0,-33780.0,,,0.0,0.0,,,,0.0
取得子公司股權,,,,,,,,,,,,,,,-85908.0,-98802.0
取得無形資產,-1343.0,-8543.0,-9587.0,-9841.0,-9440.0,-11042.0,-39528.0,-42007.0,-60750.0,-118948.0,-119002.0,-120497.0,-2429.0,-10507.0,-11687.0,-11937.0
取得無活絡市場之債券投資,-127597.0,-205958.0,-118414.0,-54687.0,-77998.0,-72944.0,-32854.0,-21785.0,,,,,,,,
取得無活絡市場之債務工具投資,,,,,,,,,-27503.0,-12524.0,-5013.0,-42802.0,-49259.0,-18803.0,-38543.0,0.0
呆帳費用提列（轉列收入）數,648.0,336.0,337.0,-902.0,3042.0,6365.0,-1696.0,-5758.0,11753.0,13970.0,14945.0,950.0,-7768.0,-5694.0,-4552.0,-1817.0
員工執行認股權,0.0,0.0,0.0,0.0,,,,,,,,,,,,
存入保證金增加,,,,,,,,,,,,,,,,7233.0
存入保證金減少,,,,0.0,,,,,,,,,,,,
存出保證金增加,,,-2108.0,-4122.0,,,0.0,0.0,,,,-4413.0,,0.0,,4193.0
存出保證金減少,327.0,390.0,0.0,0.0,264.0,2919.0,3027.0,2543.0,20.0,-60.0,-528.0,0.0,794.0,4102.0,4555.0,0.0
存貨（增加）減少,-63471.0,-98934.0,-42456.0,-222872.0,878.0,655.0,-79224.0,-127318.0,39910.0,95536.0,78109.0,164313.0,-8516.0,-3830.0,53589.0,85995.0
應付帳款增加（減少）,8397.0,-19798.0,2439.0,53881.0,-23873.0,-16372.0,-46822.0,-40182.0,-26097.0,-13755.0,-21825.0,53378.0,36480.0,23913.0,13174.0,33284.0
應付票據增加（減少）,-5670.0,-3183.0,-2385.0,35419.0,-37216.0,-56938.0,-18847.0,-27650.0,-23040.0,-35764.0,-16205.0,-69287.0,-51323.0,-53535.0,-52920.0,-54519.0
應收帳款（增加）減少,25523.0,90.0,11775.0,-44408.0,-17654.0,7447.0,76815.0,10819.0,35027.0,52281.0,57912.0,-19742.0,59905.0,59080.0,67721.0,-3960.0
應收票據（增加）減少,20648.0,14353.0,27991.0,27844.0,6599.0,2407.0,3797.0,-5568.0,-622.0,387.0,-21777.0,-15714.0,-7409.0,-6890.0,-5197.0,-45290.0
應計退休金負債增加（減少）,-1003.0,-463.0,-4792.0,-4251.0,-1606.0,-959.0,-312.0,-336.0,,,,,,,,
投資活動之淨現金流入（流出）,-35342.0,-398313.0,-548706.0,-617701.0,-147500.0,-210028.0,-291186.0,-369482.0,-146218.0,-241539.0,-360362.0,-480289.0,-121476.0,-157177.0,-207016.0,-13199.0
折舊費用,35404.0,71521.0,108526.0,148420.0,40319.0,82113.0,126405.0,170930.0,44712.0,91269.0,137079.0,182307.0,45977.0,91432.0,136807.0,181865.0
攤銷費用,3844.0,7849.0,13190.0,19922.0,3956.0,8206.0,13778.0,22076.0,10061.0,20359.0,31834.0,44825.0,16557.0,34995.0,57154.0,77473.0
支付之利息,-4904.0,-9288.0,-13474.0,-18543.0,-4834.0,-9931.0,-14996.0,-20246.0,-5084.0,-10289.0,-15538.0,-20723.0,-4728.0,-9673.0,-14907.0,-20097.0
收取之利息,770.0,1708.0,3592.0,5179.0,2967.0,3324.0,6132.0,8810.0,1782.0,5543.0,10030.0,12338.0,2499.0,3737.0,4589.0,8493.0
收益費損項目合計,,,,,,,,,68595.0,132711.0,193168.0,240095.0,58530.0,125218.0,195434.0,188227.0
期初現金及約當現金餘額,517022.0,517022.0,517022.0,517022.0,756380.0,756380.0,756380.0,756380.0,1263099.0,1263099.0,1263099.0,1263099.0,917006.0,917006.0,917006.0,917006.0
期末現金及約當現金餘額,797891.0,536430.0,757227.0,756380.0,650040.0,788476.0,577524.0,1166822.0,1093196.0,1142947.0,881765.0,917006.0,796401.0,891212.0,1118120.0,1094920.0
未實現外幣兌換損失（利益）,,,,,,,,,,,,,,-2420.0,-5599.0,
本期現金及約當現金增加（減少）數,280869.0,19408.0,240205.0,239358.0,-106340.0,32096.0,-178856.0,410442.0,-169903.0,-120152.0,-381334.0,-346093.0,-120605.0,-25794.0,201114.0,177914.0
本期稅前淨利（淨損）,169032.0,236879.0,350389.0,409989.0,79731.0,183424.0,130594.0,207365.0,-57960.0,-86829.0,-143511.0,-58659.0,-39426.0,-67808.0,-99768.0,-34924.0
淨確定福利負債增加(減少),,,,,,,,,626.0,-2781.0,-2155.0,-1528.0,-23000.0,-24597.0,-27230.0,-27036.0
營業活動之淨現金流入（流出）,-9812.0,-9160.0,223514.0,297092.0,1640.0,148670.0,113738.0,148580.0,2008.0,74272.0,82231.0,280533.0,12167.0,-8085.0,73234.0,87184.0
營運產生之現金流入（流出）,2406.0,34156.0,269160.0,378913.0,23574.0,223928.0,215098.0,252190.0,28962.0,122982.0,137477.0,339329.0,19394.0,23579.0,114362.0,137752.0
現金增資,,,,360066.0,,,,587562.0,,,,0.0,,,,143127.0
發放現金股利,,,-89595.0,-89595.0,,,-119460.0,-119460.0,,,-129017.0,-129017.0,,,0.0,-32254.0
短期借款增加,,20072.0,23531.0,200279.0,,0.0,0.0,0.0,,30000.0,12000.0,,30000.0,20000.0,134000.0,
短期借款減少,-46529.0,0.0,0.0,0.0,-244838.0,-274838.0,-274838.0,-82838.0,0.0,0.0,0.0,-6000.0,,,,-14000.0
籌資活動之淨現金流入（流出）,321097.0,420970.0,565220.0,554272.0,42473.0,101121.0,-985.0,618374.0,-11460.0,66892.0,-97843.0,-124217.0,-13796.0,146138.0,357202.0,130687.0
繼續營業單位稅前淨利（淨損）,169032.0,236879.0,350389.0,409989.0,79731.0,183424.0,130594.0,207365.0,-57960.0,-86829.0,-143511.0,-58659.0,-39426.0,-67808.0,-99768.0,-34924.0
與營業活動相關之負債之淨變動合計,46283.0,-11943.0,39104.0,251134.0,-116488.0,-124493.0,-123150.0,-98017.0,-69478.0,-73450.0,-78820.0,-3073.0,-75363.0,-74898.0,-129341.0,-91620.0
與營業活動相關之資產之淨變動合計,-80349.0,-86787.0,-59868.0,-279066.0,10321.0,63165.0,62322.0,-58591.0,87805.0,150550.0,166640.0,160966.0,75653.0,41067.0,148037.0,76069.0
與營業活動相關之資產及負債之淨變動合計,-34066.0,-98730.0,-20764.0,-27932.0,-106167.0,-61328.0,-60828.0,-156608.0,18327.0,77100.0,87820.0,157893.0,290.0,-33831.0,18696.0,-15551.0
舉借長期借款,,25565.0,84327.0,7467.0,300000.0,374497.0,391773.0,432000.0,0.0,60000.0,60000.0,240000.0,,180000.0,230000.0,280000.0
處分不動產、廠房及設備,1487.0,1697.0,1701.0,1709.0,114.0,255.0,1603.0,3239.0,332.0,332.0,342.0,342.0,2907.0,2907.0,2959.0,4863.0
處分備供出售金融資產,1000.0,6080.0,6080.0,6080.0,0.0,0.0,0.0,0.0,,,0.0,,,,,167183.0
處分及報廢不動產、廠房及設備損失（利益）,-43.0,-54.0,-46.0,502.0,-79.0,-103.0,240.0,6407.0,-356.0,-65.0,-76.0,-76.0,432.0,531.0,1126.0,1829.0
處分子公司,101196.0,101196.0,,,0.0,0.0,,,,,,,,,,
處分子公司股權（未喪失控制力）,,,171544.0,171544.0,,,0.0,0.0,,,,,,,,
處分待出售非流動資產,,,0.0,0.0,,,,,,,,,,,,
處分投資損失（利益）,-8.0,-37.0,-37.0,-37.0,0.0,0.0,0.0,0.0,,,,,,,,-77617.0
處分採用權益法之投資,,,,0.0,,,,,,,,,,,,
處分無形資產,133600.0,136000.0,138168.0,142181.0,0.0,0.0,0.0,0.0,,,,,,,,
處分無形資產損失（利益）,-176885.0,-191303.0,-192190.0,-196228.0,0.0,0.0,0.0,0.0,,,,,,,,
處分無活絡市場之債券投資,0.0,,,,,,,,,,,,,,,
處分無活絡市場之債務工具投資,,,,,,,,,,,0.0,0.0,,,,61348.0
調整項目合計,-166626.0,-202723.0,-81229.0,-31076.0,-56157.0,40504.0,84504.0,44825.0,86922.0,209811.0,280988.0,397988.0,58820.0,91387.0,214130.0,172676.0
資產負債表帳列之現金及約當現金,797891.0,536430.0,757227.0,756380.0,650040.0,788476.0,577524.0,1166822.0,1093196.0,1142947.0,881765.0,917006.0,796401.0,891212.0,1118120.0,1094920.0
退還（支付）之所得稅,-8084.0,-35736.0,-35764.0,-68457.0,-20067.0,-68651.0,-92496.0,-92174.0,-23652.0,-43964.0,-49738.0,-50411.0,-4998.0,-25728.0,-30810.0,-38964.0
金融資產減損損失,,1607.0,2824.0,3501.0,394.0,978.0,978.0,1092.0,,3419.0,3419.0,3419.0,,0.0,0.0,2791.0
除列按攤銷後成本衡量金融資產淨損失（利益）,,0.0,,,,,,,,,,,,,,
非控制權益變動,375067.0,375067.0,375067.0,15001.0,0.0,0.0,0.0,0.0,,,,,,,,-261.0
非金融資產減損損失,,,,12747.0,,,,0.0,0.0,,,,,,,
非金融資產減損迴轉利益,-17.0,-34.0,-51.0,0.0,-17.0,-34.0,-51.0,-68.0,-17.0,-34.0,-51.0,-68.0,-17.0,-34.0,-51.0,-68.0
