,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額,%
不動產、廠房及設備,155765.0,21.3,157656.0,21.41,207724.0,20.48,242157.0,23.62,272920.0,26.69,316469.0,30.69,334678.0,33.02,338148.0,34.03,361190.0,36.12,427661.0,43.72,446001.0,38.18,459278.0,40.75,473196.0,42.38,500939.0,45.54,503192.0,45.85
保留盈餘合計,-141529.0,-19.35,-140928.0,-19.14,-139195.0,-13.72,-136731.0,-13.34,606.0,0.06,-567.0,-0.05,-19428.0,-1.92,-32293.0,-3.25,-28537.0,-2.85,-34555.0,-3.53,-63363.0,-5.42,-74535.0,-6.61,-14380.0,-1.29,-15711.0,-1.43,-12491.0,-1.14
債券換股權利證書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
其他應付款,16914.0,2.31,17102.0,2.32,18449.0,1.82,16303.0,1.59,19612.0,1.92,22798.0,2.21,27783.0,2.74,19795.0,1.99,22894.0,2.29,22542.0,2.3,28695.0,2.46,25229.0,2.24,26287.0,2.35,49394.0,4.49,41909.0,3.82
其他應收款淨額,729.0,0.1,737.0,0.1,280.0,0.03,44.0,0.0,45.0,0.0,50.0,0.0,1817.0,0.18,1130.0,0.11,1118.0,0.11,123.0,0.01,1578.0,0.14,5559.0,0.49,37.0,0.0,49.0,0.0,70.0,0.01
其他權益合計,8.0,0.0,-20.0,0.0,294.0,0.03,327.0,0.03,246.0,0.02,328.0,0.03,434.0,0.04,263.0,0.03,248.0,0.02,408.0,0.04,389.0,0.03,-479.0,-0.04,-1026.0,-0.09,-1728.0,-0.16,-2452.0,-0.22
其他流動負債,1406.0,0.19,4223.0,0.57,6097.0,0.6,11662.0,1.14,12124.0,1.19,10832.0,1.05,15605.0,1.54,14540.0,1.46,18690.0,1.87,11025.0,1.13,10696.0,0.92,11861.0,1.05,9199.0,0.82,15036.0,1.37,12001.0,1.09
其他流動資產,321758.0,44.0,321157.0,43.62,289668.0,28.55,504995.0,49.25,482531.0,47.19,436231.0,42.3,417280.0,41.17,348195.0,35.04,263880.0,26.39,154345.0,15.78,147299.0,12.61,226680.0,20.11,232523.0,20.82,219971.0,20.0,219500.0,20.0
其他非流動負債,85.0,0.01,85.0,0.01,85.0,0.01,85.0,0.01,85.0,0.01,535.0,0.05,535.0,0.05,2105.0,0.21,2105.0,0.21,2105.0,0.22,210168.0,17.99,210732.0,18.7,211146.0,18.91,213062.0,19.37,213482.0,19.45
其他非流動資產,5525.0,0.76,5380.0,0.73,5211.0,0.51,5433.0,0.53,5435.0,0.53,5860.0,0.57,5760.0,0.57,5506.0,0.55,5584.0,0.56,5639.0,0.58,5362.0,0.46,5341.0,0.47,5136.0,0.46,5273.0,0.48,5014.0,0.46
國外營運機構財務報表換算之兌換差額,8.0,0.0,-20.0,0.0,294.0,0.03,327.0,0.03,246.0,0.02,328.0,0.03,434.0,0.04,263.0,0.03,248.0,0.02,408.0,0.04,389.0,0.03,-479.0,-0.04,-1026.0,-0.09,-1728.0,-0.16,-2452.0,-0.22
存貨,61437.0,8.4,65822.0,8.94,73823.0,7.28,86039.0,8.39,80475.0,7.87,86457.0,8.38,86083.0,8.49,86770.0,8.73,95279.0,9.53,98889.0,10.11,93747.0,8.02,95858.0,8.51,96655.0,8.66,94617.0,8.6,91040.0,8.3
庫藏股票,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,-23403.0,-2.08,-33144.0,-2.97,-33144.0,-3.01,-33144.0,-3.02
待分配股票股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
待註銷股本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
待註銷股本股數（單位：股）,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
應付帳款,18191.0,2.49,18227.0,2.48,24363.0,2.4,30054.0,2.93,23151.0,2.26,29365.0,2.85,20949.0,2.07,18563.0,1.87,30437.0,3.04,24172.0,2.47,23952.0,2.05,21499.0,1.91,27417.0,2.46,28251.0,2.57,33766.0,3.08
應付帳款－關係人,,,2047.0,0.28,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
應付票據,121.0,0.02,122.0,0.02,0.0,0.0,15.0,0.0,718.0,0.07,718.0,0.07,719.0,0.07,118.0,0.01,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
應收帳款淨額,53587.0,7.33,46679.0,6.34,58855.0,5.8,55269.0,5.39,48973.0,4.79,49730.0,4.82,44856.0,4.43,43782.0,4.41,58350.0,5.84,58160.0,5.95,47200.0,4.04,45268.0,4.02,67891.0,6.08,73769.0,6.71,72318.0,6.59
應收帳款－關係人淨額,9950.0,1.36,0.0,0.0,6439.0,0.63,11430.0,1.11,4142.0,0.41,4207.0,0.41,2190.0,0.22,19.0,0.0,5854.0,0.59,6403.0,0.65,5464.0,0.47,7856.0,0.7,4121.0,0.37,4806.0,0.44,9892.0,0.9
應收票據淨額,8290.0,1.13,14941.0,2.03,12342.0,1.22,8108.0,0.79,17721.0,1.73,21866.0,2.12,22485.0,2.22,18296.0,1.84,21363.0,2.14,21409.0,2.19,20408.0,1.75,14141.0,1.25,16318.0,1.46,26338.0,2.39,28100.0,2.56
投資性不動產淨額,9122.0,1.25,9114.0,1.24,9107.0,0.9,9099.0,0.89,9091.0,0.89,9083.0,0.88,9076.0,0.9,9068.0,0.91,9060.0,0.91,9052.0,0.93,9045.0,0.77,9037.0,0.8,9029.0,0.81,9022.0,0.82,9014.0,0.82
普通股股本,621060.0,84.92,622940.0,84.6,700840.0,69.09,700840.0,68.35,700840.0,68.53,700840.0,67.95,703490.0,69.4,704640.0,70.91,708370.0,70.85,708470.0,72.42,708470.0,60.64,708470.0,62.86,708470.0,63.44,708470.0,64.41,708470.0,64.56
未分配盈餘（或待彌補虧損）,-141529.0,-19.35,-140928.0,-19.14,-139195.0,-13.72,-136731.0,-13.34,606.0,0.06,-567.0,-0.05,-19428.0,-1.92,-32293.0,-3.25,-28537.0,-2.85,-34555.0,-3.53,-63363.0,-5.42,-74535.0,-6.61,-14380.0,-1.29,-15711.0,-1.43,,
權益總計,,,,,,,,,,,,,,,869002.0,87.46,857739.0,85.79,851881.0,87.09,829855.0,71.03,794412.0,70.49,780916.0,69.93,778883.0,70.81,781379.0,71.2
權益總額,614617.0,84.04,615969.0,83.66,888393.0,87.58,891619.0,86.96,892856.0,87.31,894513.0,86.73,877009.0,86.52,,,,,,,,,,,,,,,,
