,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額
不影響現金流量之收益費損項目合計,6722.0,6486.0,8216.0,3487.0,3646.0,2090.0,2448.0,,,,,,,,
停業單位稅前淨利（淨損）,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,
償還長期借款,,,,,,-1473.0,-2954.0,-1488.0,-2984.0,-4488.0,-6006.0,-1530.0,-3074.0,-54167.0,-54556.0
其他應付款增加（減少）,-6548.0,-6396.0,-5166.0,-2867.0,1041.0,4329.0,4571.0,-3745.0,-162.0,-1246.0,4088.0,-2657.0,-2135.0,2825.0,3722.0
其他應收款（增加）減少,237.0,229.0,686.0,236.0,235.0,230.0,-1537.0,687.0,699.0,1694.0,239.0,-3981.0,1541.0,1529.0,1508.0
其他流動負債增加（減少）,-205.0,1139.0,1532.0,4093.0,3060.0,1737.0,6479.0,-1112.0,3006.0,-4690.0,-5092.0,1135.0,-1576.0,8907.0,5864.0
其他流動資產（增加）減少,-3110.0,-2397.0,-5385.0,-6300.0,-8676.0,-11228.0,-6232.0,-6121.0,-777.0,342.0,4837.0,265.0,-6258.0,-3624.0,-3515.0
其他金融資產增加,-198455.0,-198373.0,-164088.0,-208814.0,-183830.0,-134860.0,-120770.0,0.0,-122221.0,-122221.0,-131900.0,-134200.0,-206600.0,-226600.0,-226282.0
其他金融資產減少,,,,,,,,75365.0,276155.0,384623.0,396857.0,54556.0,127038.0,156956.0,157000.0
利息收入,-1287.0,-2318.0,-3310.0,-1330.0,-2940.0,-4336.0,-5717.0,-1166.0,-2100.0,-2570.0,-3073.0,-422.0,-1128.0,-1747.0,-2330.0
利息費用,859.0,1271.0,1683.0,412.0,825.0,1234.0,1636.0,394.0,781.0,1160.0,2263.0,1288.0,2558.0,3784.0,4814.0
匯率變動對現金及約當現金之影響,144.0,116.0,430.0,33.0,-49.0,34.0,152.0,-169.0,-186.0,-27.0,-45.0,-868.0,-1413.0,-2120.0,-2849.0
取得不動產、廠房及設備,-2980.0,-6119.0,-57536.0,-35099.0,-67773.0,-112754.0,-127836.0,-10080.0,-36326.0,-104814.0,-126260.0,-17896.0,-38344.0,-53591.0,-70109.0
取得無形資產,0.0,-450.0,-450.0,-63.0,-125.0,-1886.0,-3149.0,0.0,-215.0,-215.0,-980.0,0.0,-1968.0,-2599.0,-2599.0
呆帳費用提列（轉列收入）數,8.0,168.0,169.0,2109.0,1321.0,-1309.0,-2257.0,583.0,2486.0,2546.0,883.0,-146.0,-1179.0,-1571.0,-1571.0
員工執行認股權,2400.0,2400.0,2400.0,0.0,2525.0,4956.0,5891.0,4818.0,9242.0,9242.0,9242.0,0.0,0.0,0.0,0.0
存入保證金增加,19.0,19.0,19.0,0.0,0.0,450.0,450.0,1570.0,1570.0,1570.0,1570.0,150.0,150.0,1654.0,1654.0
存出保證金增加,-129.0,-149.0,-149.0,-205.0,-190.0,-598.0,-868.0,0.0,-33.0,-73.0,-200.0,0.0,-190.0,-316.0,-605.0
