,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不動產、廠房及設備轉列費用數,,,,,3.0,317.0,317.0,666.0,0.0,21.0,550.0,175.0,0.0,92.0,118.0,118.0
不影響現金流量之收益費損項目合計,25801.0,49992.0,75918.0,104435.0,19438.0,55256.0,76396.0,110575.0,,,,,,,,
其他應付款增加（減少）,409.0,20621.0,7755.0,13447.0,44632.0,72892.0,50560.0,42655.0,-34379.0,-14930.0,17949.0,-19459.0,-24636.0,1584.0,-21449.0,9.0
其他應收款（增加）減少,-597.0,-4302.0,-8722.0,-732.0,-25290.0,-17935.0,-11725.0,-7934.0,-3796.0,-6109.0,-7157.0,-6678.0,-1232.0,-25372.0,-8203.0,-2342.0
其他流動負債增加（減少）,21030.0,10642.0,16433.0,3268.0,25294.0,1276.0,-9660.0,-8565.0,16740.0,4917.0,12541.0,9677.0,-1362.0,-10495.0,-6773.0,11653.0
其他流動資產（增加）減少,-2388.0,-5881.0,-4063.0,-721.0,-7624.0,-2780.0,-28010.0,825.0,-1419.0,-687.0,-21275.0,-9403.0,-1813.0,6694.0,8393.0,9560.0
其他營業負債增加（減少）,,,,,,,,,118.0,97.0,60.0,,0.0,61.0,290.0,-247.0
其他營業資產（增加）減少,,,,,-83.0,-309.0,-540.0,,0.0,0.0,0.0,,0.0,,0.0,
其他金融資產減少,0.0,0.0,0.0,0.0,400.0,400.0,400.0,,,,,,,,,
其他非流動負債增加,,,,,,,,,,,,23.0,,,,0.0
其他非流動資產增加,,,,,,-12576.0,,,,0.0,,,,0.0,,
其他項目,85.0,172.0,258.0,346.0,1647.0,,,,,,,,,,,
利息收入,-655.0,-1394.0,-2214.0,-3639.0,-835.0,-2065.0,-3187.0,-4513.0,-997.0,-2430.0,-3546.0,-4614.0,-764.0,-1416.0,-1970.0,-2984.0
利息費用,863.0,1366.0,1869.0,2671.0,774.0,1581.0,2350.0,2904.0,508.0,1087.0,2159.0,3722.0,1761.0,3546.0,5236.0,7866.0
