,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,500619.0,4.2,507521.0,4.19,510059.0,4.06,522226.0,4.08,527831.0,3.82,546813.0,3.96,562984.0,3.65,617795.0,3.45,577336.0,3.31,571420.0,3.31,579460.0,3.38,1241610.0,7.11,1227247.0,6.65,1183559.0,6.61,1140011.0,6.63,1155148.0,6.02
保留盈餘合計,1633415.0,13.7,1452741.0,11.99,1640507.0,13.07,1926223.0,15.06,2001531.0,14.49,2012803.0,14.56,2020220.0,13.1,2191600.0,12.25,1771949.0,10.17,1799841.0,10.44,1499286.0,8.75,1877633.0,10.75,2166957.0,11.74,2245576.0,12.54,2202578.0,12.81,2432333.0,12.67
共同控制下前手權益,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他應付款,549250.0,4.61,857696.0,7.08,882795.0,7.03,695523.0,5.44,826918.0,5.99,935644.0,6.77,1032133.0,6.69,997488.0,5.58,1004929.0,5.77,1273860.0,7.39,1324087.0,7.73,1346133.0,7.71,1086422.0,5.88,1258170.0,7.03,1214423.0,7.06,1289958.0,6.72
其他應付款項－關係人,,,9871.0,0.08,9708.0,0.08,208.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65840.0,0.38,67472.0,0.39,66127.0,0.39,453893.0,2.6,450217.0,2.44,447185.0,2.5,436685.0,2.54,451676.0,2.35
其他應收款淨額,97516.0,0.82,135052.0,1.11,106549.0,0.85,115000.0,0.9,108996.0,0.79,129388.0,0.94,132487.0,0.86,169552.0,0.95,160145.0,0.92,172516.0,1.0,124342.0,0.73,161767.0,0.93,186173.0,1.01,189667.0,1.06,172064.0,1.0,175906.0,0.92
其他應收款－關係人淨額,3450.0,0.03,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,17730.0,0.1,177480.0,1.04,0.0,0.0,,,6943.0,0.04,0.0,0.0,1153.0,0.01
其他權益合計,-22395.0,-0.19,-10841.0,-0.09,-99947.0,-0.8,-48474.0,-0.38,-37087.0,-0.27,-131562.0,-0.95,-90955.0,-0.59,105294.0,0.59,-180370.0,-1.04,-220745.0,-1.28,-55819.0,-0.33,-216569.0,-1.24,-204779.0,-1.11,-267795.0,-1.5,-510976.0,-2.97,-517246.0,-2.69
其他權益－其他,-22395.0,-0.19,-10841.0,-0.09,-99947.0,-0.8,-48474.0,-0.38,-37087.0,-0.27,-131562.0,-0.95,-90955.0,-0.59,105294.0,0.59,-180370.0,-1.04,-220745.0,-1.28,-55819.0,-0.33,-216569.0,-1.24,-204779.0,-1.11,-267795.0,-1.5,-510976.0,-2.97,-517246.0,-2.69
其他流動負債,41085.0,0.34,135078.0,1.11,258610.0,2.06,351836.0,2.75,318675.0,2.31,556923.0,4.03,502109.0,3.25,400959.0,2.24,3523096.0,20.23,3168096.0,18.38,3375128.0,19.7,760982.0,4.36,791528.0,4.29,3044147.0,17.0,2968775.0,17.26,175167.0,0.91
其他流動資產,612239.0,5.13,716215.0,5.91,450774.0,3.59,660128.0,5.16,447702.0,3.24,591187.0,4.28,1740193.0,11.28,1443078.0,8.07,1385617.0,7.96,1371865.0,7.96,666722.0,3.89,394542.0,2.26,693193.0,3.75,690710.0,3.86,658336.0,3.83,464473.0,2.42
其他非流動負債,13752.0,0.12,10833.0,0.09,4454.0,0.04,7424.0,0.06,7145.0,0.05,9365.0,0.07,9307.0,0.06,8100.0,0.05,45747.0,0.26,55550.0,0.32,41518.0,0.24,38567.0,0.22,41145.0,0.22,21400.0,0.12,20736.0,0.12,20254.0,0.11
其他非流動資產,179640.0,1.51,175858.0,1.45,231402.0,1.84,185970.0,1.45,181333.0,1.31,188155.0,1.36,187809.0,1.22,243418.0,1.36,348199.0,2.0,349191.0,2.03,349045.0,2.04,346242.0,1.98,341791.0,1.85,345899.0,1.93,329267.0,1.91,670052.0,3.49
存貨,2468948.0,20.7,2896868.0,23.91,2698022.0,21.5,2356386.0,18.42,2940053.0,21.28,3206578.0,23.19,3280203.0,21.26,2941651.0,16.44,3178981.0,18.25,3218228.0,18.67,3537205.0,20.64,2940754.0,16.84,3164309.0,17.14,2838943.0,15.85,2410101.0,14.02,2165278.0,11.28
庫藏股票,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待分配股票股利,,,,,,,,,,,79139.0,0.57,79761.0,0.52,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
應付公司債,,,327435.0,2.7,330859.0,2.64,334069.0,2.61,324613.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21095.0,0.12,21315.0,0.12,21538.0,0.12,21761.0,0.12,21986.0,0.12,0.0,0.0,663725.0,3.46
應付帳款,1042573.0,8.74,563168.0,4.65,682920.0,5.44,784825.0,6.14,1169377.0,8.46,1175178.0,8.5,1186151.0,7.69,1085169.0,6.07,1142044.0,6.56,1094757.0,6.35,1435335.0,8.38,1106376.0,6.33,1242248.0,6.73,1033930.0,5.77,693187.0,4.03,814876.0,4.24
應付帳款－關係人,22640.0,0.19,18725.0,0.15,20175.0,0.16,23404.0,0.18,18933.0,0.14,30266.0,0.22,21838.0,0.14,34737.0,0.19,25980.0,0.15,21598.0,0.13,30688.0,0.18,52929.0,0.3,54841.0,0.3,73416.0,0.41,46757.0,0.27,25398.0,0.13
應付票據,147899.0,1.24,106807.0,0.88,134145.0,1.07,137959.0,1.08,217416.0,1.57,491260.0,3.55,541256.0,3.51,453090.0,2.53,578927.0,3.32,383389.0,2.22,520048.0,3.04,714889.0,4.09,721099.0,3.91,520174.0,2.9,653484.0,3.8,677835.0,3.53
應收帳款淨額,2886079.0,24.2,2182327.0,18.01,2493005.0,19.86,3352501.0,26.21,3163065.0,22.89,2784486.0,20.14,2883727.0,18.69,3877378.0,21.67,3497558.0,20.08,3102828.0,18.0,3328707.0,19.43,3783749.0,21.66,4301318.0,23.3,3906012.0,21.81,3277686.0,19.06,3498902.0,18.22
應收帳款－關係人淨額,,,,,,,,,,,,,,,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,41559.0,0.24,322289.0,1.68
應收票據淨額,101226.0,0.85,29994.0,0.25,76616.0,0.61,113799.0,0.89,155633.0,1.13,77911.0,0.56,71237.0,0.46,136560.0,0.76,181982.0,1.04,105897.0,0.61,113436.0,0.66,134619.0,0.77,151731.0,0.82,92894.0,0.52,91697.0,0.53,155295.0,0.81
採用權益法之投資淨額,,,,,,,,,,,,,,,,,,,,,,,,,815.0,0.0,810.0,0.0,784.0,0.0,808.0,0.0
普通股股本,1201970.0,10.08,1316270.0,10.86,1316270.0,10.49,1316320.0,10.29,1318891.0,9.55,1318991.0,9.54,1329358.0,8.62,1409120.0,7.88,1519120.0,8.72,1519120.0,8.81,1519120.0,8.87,1519120.0,8.7,1519120.0,8.23,1519120.0,8.48,1519120.0,8.83,1519120.0,7.91
