,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
其他利益及損失淨額,3404.0,0.96,-3304.0,-0.78,-1170.0,-0.29,-1083.0,-0.07,3180.0,0.97,-7925.0,-2.29,-419.0,-0.11,-566.0,-0.04,-2575.0,-0.69,-1301.0,-0.35,2616.0,0.61,-16882.0,-1.05,-1756.0,-0.52,-13079.0,-3.02,1466.0,0.33,-46264.0,-2.66
其他收入,5730.0,1.62,4761.0,1.12,5966.0,1.5,3079.0,0.2,5185.0,1.58,1596.0,0.46,5436.0,1.41,2779.0,0.18,1697.0,0.45,1686.0,0.46,2429.0,0.57,8068.0,0.5,1248.0,0.37,1924.0,0.44,2279.0,0.51,24181.0,1.39
其他綜合損益（淨額）,2845.0,0.81,1496.0,0.35,-1068.0,-0.27,5656.0,0.36,-453.0,-0.14,-2644.0,-0.76,2649.0,0.69,4844.0,0.32,-1046.0,-0.28,-1660.0,-0.45,8088.0,1.89,1986.0,0.12,-253.0,-0.08,-2420.0,-0.56,-5593.0,-1.25,-6960.0,-0.4
國外營運機構財務報表換算之兌換差額,3429.0,0.97,1802.0,0.43,-1288.0,-0.32,6848.0,0.44,-546.0,-0.17,-3185.0,-0.92,3191.0,0.83,6355.0,0.42,-1260.0,-0.34,-2000.0,-0.55,9744.0,2.28,2589.0,0.16,-1913.0,-0.57,-2420.0,-0.56,-5593.0,-1.25,-9125.0,-0.52
基本每股盈餘,0.46,,0.73,,0.71,,2.05,,0.06,,0.05,,0.24,,1.22,,0.39,,0.24,,0.59,,1.91,,0.2,,0.63,,0.86,,2.82,
所得稅費用（利益）合計,6756.0,1.91,9617.0,2.27,8389.0,2.11,34149.0,2.19,2470.0,0.75,5141.0,1.49,17022.0,4.42,31577.0,2.07,5549.0,1.48,656.0,0.18,7325.0,1.71,24436.0,1.52,3914.0,1.17,6596.0,1.52,10377.0,2.33,35141.0,2.02
推銷費用,52980.0,15.02,73070.0,17.25,52416.0,13.17,216864.0,13.89,41698.0,12.7,49126.0,14.2,29679.0,7.7,168521.0,11.05,42078.0,11.25,47315.0,12.9,51114.0,11.94,192817.0,11.98,34963.0,10.43,37207.0,8.6,36488.0,8.19,149765.0,8.61
本期淨利（淨損）,20378.0,5.78,31942.0,7.54,31221.0,7.85,89929.0,5.76,2671.0,0.81,2224.0,0.64,10725.0,2.78,54309.0,3.56,20230.0,5.41,12402.0,3.38,30136.0,7.04,98793.0,6.14,12592.0,3.76,40024.0,9.25,54332.0,12.19,178790.0,10.27
本期綜合損益總額,23223.0,6.58,33438.0,7.89,30153.0,7.58,95585.0,6.12,2218.0,0.68,-420.0,-0.12,13374.0,3.47,59153.0,3.88,19184.0,5.13,10742.0,2.93,38224.0,8.93,100779.0,6.26,12339.0,3.68,37604.0,8.69,48739.0,10.94,171830.0,9.87
母公司業主（淨利／損）,20378.0,5.78,31942.0,7.54,31221.0,7.85,89929.0,5.76,2671.0,0.81,2224.0,0.64,10725.0,2.78,54309.0,3.56,20230.0,5.41,12402.0,3.38,30136.0,7.04,98793.0,6.14,12592.0,3.76,40024.0,9.25,54332.0,12.19,178790.0,10.27
母公司業主（綜合損益）,23223.0,6.58,33438.0,7.89,30153.0,7.58,95585.0,6.12,2218.0,0.68,-420.0,-0.12,13374.0,3.47,59153.0,3.88,19184.0,5.13,10742.0,2.93,38224.0,8.93,100779.0,6.26,12339.0,3.68,37604.0,8.69,48739.0,10.94,171830.0,9.87
營業利益（損失）,19244.0,5.45,41638.0,9.83,39888.0,10.02,144875.0,9.28,12360.0,3.77,30500.0,8.81,39437.0,10.23,149306.0,9.79,40166.0,10.74,24923.0,6.8,52596.0,12.28,189784.0,11.79,24959.0,7.45,62706.0,14.49,65643.0,14.73,258402.0,14.85
營業外收入及支出合計,7890.0,2.24,-79.0,-0.02,-278.0,-0.07,-20797.0,-1.33,-7219.0,-2.2,-23135.0,-6.69,-11690.0,-3.03,-63420.0,-4.16,-14387.0,-3.85,-11865.0,-3.24,-15135.0,-3.53,-66555.0,-4.13,-8453.0,-2.52,-16086.0,-3.72,-934.0,-0.21,-44471.0,-2.56
營業成本合計,217442.0,61.63,249762.0,58.96,238882.0,60.03,933106.0,59.78,203912.0,62.12,203046.0,58.67,248127.0,64.38,930048.0,61.0,223779.0,59.81,222191.0,60.59,234169.0,54.69,908426.0,56.43,198722.0,59.29,244308.0,56.45,245042.0,54.98,969822.0,55.73
營業收入合計,352801.0,100.0,423619.0,100.0,397919.0,100.0,1560897.0,100.0,328256.0,100.0,346059.0,100.0,385438.0,100.0,1524669.0,100.0,374129.0,100.0,366729.0,100.0,428177.0,100.0,1609718.0,100.0,335190.0,100.0,432756.0,100.0,445706.0,100.0,1740309.0,100.0
營業毛利（毛損）,135359.0,38.37,173857.0,41.04,159037.0,39.97,627791.0,40.22,124344.0,37.88,143013.0,41.33,137311.0,35.62,594621.0,39.0,150350.0,40.19,144538.0,39.41,194008.0,45.31,701292.0,43.57,136468.0,40.71,188448.0,43.55,200664.0,45.02,770487.0,44.27
營業毛利（毛損）淨額,135359.0,38.37,173857.0,41.04,159037.0,39.97,627791.0,40.22,124344.0,37.88,143013.0,41.33,137311.0,35.62,594621.0,39.0,150350.0,40.19,144538.0,39.41,194008.0,45.31,701292.0,43.57,136468.0,40.71,188448.0,43.55,200664.0,45.02,770487.0,44.27
營業費用合計,116115.0,32.91,132219.0,31.21,119149.0,29.94,482916.0,30.94,111984.0,34.11,112513.0,32.51,97874.0,25.39,445315.0,29.21,110184.0,29.45,119615.0,32.62,141412.0,33.03,511508.0,31.78,111509.0,33.27,125742.0,29.06,135021.0,30.29,512085.0,29.42
研究發展費用,22239.0,6.3,19354.0,4.57,24348.0,6.12,101196.0,6.48,23360.0,7.12,23061.0,6.66,21563.0,5.59,92004.0,6.03,24180.0,6.46,27710.0,7.56,32633.0,7.62,117783.0,7.32,30568.0,9.12,36211.0,8.37,37213.0,8.35,140385.0,8.07
確定福利計畫之再衡量數,,,,,,,,,,,,,,,,,,,,,,,-163.0,-0.01,,,,,,,505.0,0.03
確定福利計畫精算利益（損失）,,,,,,,-28.0,0.0,,,,,,,-431.0,-0.03,,,,,,,,,,,,,,,,
稀釋每股盈餘,0.46,,0.73,,0.71,,2.04,,0.06,,0.05,,0.24,,1.22,,0.39,,0.24,,0.58,,1.9,,0.2,,0.63,,0.85,,2.8,
稅前淨利（淨損）,27134.0,7.69,41559.0,9.81,39610.0,9.95,124078.0,7.95,5141.0,1.57,7365.0,2.13,27747.0,7.2,85886.0,5.63,25779.0,6.89,13058.0,3.56,37461.0,8.75,123229.0,7.66,16506.0,4.92,46620.0,10.77,64709.0,14.52,213931.0,12.29
