,水泥,食品,塑膠,紡織,電機機械,電器電纜,化學生醫,玻璃,造紙,鋼鐵,橡膠,汽車,電子,營建,航運,觀光,金融,貿易百貨,化學,生技醫療,半導體,電腦周邊,光電,通信網路,電零組,電子通路,資訊服務,其他電子,油電燃氣,其他,不含金融,不含電子,非金電
1,1101,1201,1301,1402,1503,1603,,1802,1902,2002,2101,1338,,1436,2208,2701,2801,2601,1316,1598,1437,2301,2323,2314,1471,2347,2308,2312,2616,1262,,,
2,1102,1203,1303,1409,1504,1604,,1806,1903,2006,2102,2201,,1438,2603,2702,2809,2614,1704,1701,2302,2305,2340,2321,1582,2414,2390,2317,6505,1435,,,
3,1103,1210,1304,1410,1506,1605,,1809,1904,2007,2103,2204,,1442,2605,2704,2812,2901,1708,1707,2303,2324,2349,2332,2059,2430,2419,2354,8926,1516,,,
4,1104,1213,1305,1413,1507,1608,,1810,1905,2008,2104,2206,,1805,2606,2705,2816,2903,1709,1720,2311,2331,2374,2345,2308,2459,2427,2359,9908,2062,,,
5,1108,1215,1307,1414,1512,1609,,1817,1906,2009,2105,2207,,1808,2607,2706,2820,2905,1710,1729,2325,2352,2393,2412,2313,3010,2453,2360,9918,2348,,,
6,1109,1216,1308,1416,1513,1611,,,1907,2010,2106,2227,,2501,2608,2707,2823,2906,1711,1731,2329,2353,2406,2419,2316,3028,2468,2373,9926,2514,,,
7,1110,1217,1309,1417,1514,1612,,,1909,2012,2107,2239,,2504,2609,2712,2832,2908,1712,1733,2330,2356,2409,2439,2327,3033,2471,2390,9931,2904,,,
8,,1218,1310,1418,1515,1613,,,,2013,2108,3346,,2505,2610,2722,2834,2910,1713,1734,2337,2357,2426,2444,2328,3036,2480,2404,9937,3040,,,
9,,1219,1312,1419,1517,1614,,,,2014,2109,,,2506,2611,2723,2836,2911,1714,1736,2338,2358,2438,2450,2355,3048,3021,2423,,4536,,,
10,,1220,1313,1423,1519,1615,,,,2015,2114,,,2509,2612,2727,2838,2912,1717,1762,2342,2362,2448,2455,2367,3055,3029,2433,,5284,,,
11,,1225,1314,1432,1521,1616,,,,2017,2115,,,2511,2613,2731,2845,2913,1718,1783,2344,2364,2466,2485,2368,3209,3115,2461,,5871,,,
12,,1227,1315,1434,1522,1617,,,,2020,,,,2515,2614,2739,2849,2915,1721,1786,2351,2365,2475,2496,2375,3312,3570,2464,,6184,,,
13,,1229,1319,1439,1524,1618,,,,2022,,,,2516,2615,2748,2850,2929,1722,1789,2363,2376,2486,2498,2383,3315,3664,2474,,6464,,,
14,,1231,1321,1440,1525,1626,,,,2023,,,,2520,2617,5706,2851,2936,1723,3164,2369,2377,2489,3025,2385,3528,3701,2477,,6504,,,
15,,1232,1323,1441,1526,4930,,,,2024,,,,2524,2618,8940,2852,5906,1724,3705,2379,2380,2491,3027,2392,3702,4905,2482,,8033,,,
16,,1233,1324,1443,1527,,,,,2025,,,,2527,2633,9943,2855,5907,1725,4104,2388,2382,2499,3045,2402,5434,5201,2488,,8341,,,
17,,1234,1325,1444,1528,,,,,2027,,,,2528,2634,,2856,8429,1726,4106,2401,2387,3008,3047,2413,6145,5205,2495,,8404,,,
18,,1235,1326,1445,1529,,,,,2028,,,,2530,2636,,2867,8443,1727,4108,2408,2395,3019,3062,2415,6189,5209,2497,,8411,,,
19,,1236,1337,1446,1530,,,,,2029,,,,2534,2637,,2880,8454,1730,4119,2434,2397,3024,3311,2420,6281,5210,3018,,8422,,,
20,,1256,1339,1447,1531,,,,,2030,,,,2535,2642,,2881,,1732,4133,2436,2399,3031,3380,2421,8070,5212,3030,,8427,,,
