,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不動產、廠房及設備轉列費用數,"10,516","10,516",,,,,,,,,,,,,,
不影響現金流量之收益費損項目合計,"1,080,411","1,080,411","760,969","992,372","1,710,875","981,177","-1,052,123","472,575","1,238,612",,,,,,,
備供出售金融資產減資退回股款,,,,,,,,,,,,,"28,713",,,
償還公司債,"-2,198,325","-2,198,325","-2,314,707","-6,814,707","-6,814,707","-12,577,483","-12,759,025","-18,130,035","-18,148,889","-2,500,000","-2,500,000","-2,500,000","-2,500,000","-1,386,383","-13,894,347","-13,894,347"
償還長期借款,"-6,537,649","-6,537,649","-9,963,474","-23,341,212","-35,542,745","-12,734,607","-54,774,860","-33,108,733","-46,917,171","-2,198,727","-8,924,638","-10,252,732","-33,553,827","-16,440,214","-32,328,729","-34,035,089"
其他應收款（增加）減少,"-59,138","-59,138","-634,013","-95,668","17,938","-282,429","14,363","49,313","174,482","-206,117","-274,024","-384,573","-191,261","-60,243","58,791","-112,638"
其他應收款－關係人增加,,,"-1,922,790","-1,922,790","-1,922,790",,0,0,0,,,,,,,
其他投資活動,,,,,,,,,,,,,,,"489,200","528,436"
其他流動負債增加（減少）,"191,233","191,233",,,,,,,,,,,,,,
其他流動資產（增加）減少,"86,508","86,508","118,224","-161,918","-224,048","208,054","-178,707","-127,356","-248,092","122,042","210,550","341,883","354,728","24,018","1,117,835","1,204,915"
其他非流動負債增加,"539,745","539,745","300,127","101,113","25,511","-13,927",0,0,,,"-44,220",,,,,
其他非流動負債減少,,,0,0,0,,"-105,049","-79,665","-118,554","-19,655",,"-15,196","-12,428","-72,678","-79,970","-99,075"
其他非流動資產增加,,,,0,0,,,"-2,794",,,,0,0,"-2,890","-6,418","-6,770"
其他非流動資產減少,498,498,973,"1,050","5,811","1,079","1,335",0,"-19,566","97,678","95,633","95,431","95,928",0,0,0
其他項目,"-17,021","-17,021","-34,043","1,104","2,237","1,460","3,059","3,851","4,995","2,366","3,025","3,724","4,502",901,"1,554","2,626"
其他預付款項增加,,,"-140,100",,"-104,377",0,,,,-535,,"-60,271","-92,625","-10,191","-596,367","-612,789"
其他預付款項減少,"-170,286","-170,286",0,"-183,898",,,"-40,270","-58,675","-74,879",,"-32,420",,,,,
利息收入,"-119,860","-119,860","-324,518","-471,952","-727,788","-129,874","-274,778","-395,171","-477,369","-99,019","-218,501","-300,141","-397,031","-67,983","-120,721","-154,054"
利息費用,"424,975","424,975","840,440","1,251,357","1,640,205","385,203","811,079","1,246,132","1,667,598","412,287","826,712","1,243,021","1,647,870","418,599","815,760","1,199,398"
匯率變動對現金及約當現金之影響,"229,070","229,070","380,291","250,211","430,793","128,350","-25,037","98,513","98,513","-161,410","-277,396","409,394","39,437","-164,499","-173,585","-365,779"
取得不動產、廠房及設備,"-1,919,725","-1,919,725","-4,527,504","-6,967,026","-8,522,673","-1,402,773","-1,288,476","-2,674,915","-4,166,990","-892,991","-1,487,505","-2,270,889","-3,479,729","-768,689","-639,034","-995,178"
取得以成本衡量之金融資產,,,"-107,290","-107,290","-297,321",,0,"-3,307","-3,307",,,0,0,,,
取得備供出售金融資產,"-199,370","-199,370","-910,824","-1,293,573","-2,904,207","-29,708","-1,484,100","-2,626,883","-7,492,054","-1,192,850","-2,007,775","-2,045,453","-2,046,066","-342,048","-1,581,356","-2,644,572"
