,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,,,,,,,,,,,,,,,,,,,"45,564",0.3,"-790,428",-4.68,"1,113,981",6.61,"-722,900",-1.09,"-1,224,918",-9.39,"-497,026",-3.1,"-840,127",-5.59
現金流量避險中屬有效避險部分之避險工具利益(損失),,,,,,,,,,,,,,,,,,,"6,937",0.05,"3,810",0.02,"3,392",0.02,"17,718",0.03,0,0,0,0,0,0
與其他綜合損益組成部分相關之所得稅,,,,,,,,,"19,511",0.03,"6,418",0.04,0,0,0,0,"14,267",0.02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,,,,,,,,,,,,,,,,,,,30,0,-17,0,0,0,"-285,305",-0.43,0,0,0,0,0,0
採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,"82,876",0.59,"82,876",0.59,"-46,237",-0.25,"11,523",0.07,"573,480",0.82,"-340,082",-2.09,"-935,581",-4.41,"683,983",3.46,"527,962",0.68,,,,,,,,,,,,,,
確定福利計畫之再衡量數,,,,,,,,,,,,,,,,,,,"-21,995",-0.14,0,0,0,0,"-468,796",-0.71,0,0,0,0,0,0
確定福利計畫精算利益（損失）,,,,,,,,,"262,379",0.37,,,,,,,"4,146",0.01,,,,,,,,,,,,,,
重估價之利益（損失）,,,,,,,,,,,"128,470",0.79,0,0,0,0,"128,470",0.17,,,,,,,,,,,,,,
重估增值,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,
