,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,"2,641,827",30.81,"2,641,827",30.81,"2,573,114",29.45,"2,491,616",28.58,"2,435,301",28.37,"2,416,387",28.61,"2,366,025",27.81,"2,306,076",27.41,"2,300,176",27.5,"2,243,101",27.33,"2,204,299",26.45,"2,154,830",26.85,"2,157,348",27.46,"2,092,281",27.03,"2,020,616",26.14,"1,960,320",25.13
以成本衡量之金融負債－非流動,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
以成本衡量之金融資產－非流動淨額,"87,111",1.02,"87,111",1.02,"74,969",0.86,"72,399",0.83,"62,399",0.73,"62,399",0.74,"62,399",0.73,"62,399",0.74,"56,266",0.67,"53,081",0.65,"53,081",0.64,"47,081",0.59,"42,766",0.54,"42,766",0.55,"37,666",0.49,"37,666",0.48
保留盈餘合計,"199,978",2.33,"199,978",2.33,"241,247",2.76,"296,549",3.4,"309,849",3.61,"382,864",4.53,"352,292",4.14,"433,670",5.15,"508,990",6.09,"665,288",8.11,"581,695",6.98,"673,475",8.39,"728,106",9.27,"831,498",10.74,"578,923",7.49,"657,936",8.43
備供出售金融資產未實現損益,"59,999",0.7,"59,999",0.7,"42,181",0.48,"41,970",0.48,"40,355",0.47,"46,573",0.55,"37,631",0.44,"27,088",0.32,,,,,,,,,,,,,,,,
備供出售金融資產－流動淨額,"120,064",1.4,"120,064",1.4,"122,249",1.4,"118,980",1.36,"106,838",1.24,"107,351",1.27,"95,990",1.13,"81,568",0.97,"141,895",1.7,"127,189",1.55,"153,030",1.84,"153,574",1.91,"177,052",2.25,"197,943",2.56,"199,699",2.58,"175,531",2.25
備供出售金融資產－非流動淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,"16,480",0.21
其他應付款,"168,970",1.97,"168,970",1.97,"175,726",2.01,"183,411",2.1,"206,823",2.41,"199,516",2.36,"399,506",4.7,"203,215",2.42,"197,092",2.36,"198,041",2.41,"495,188",5.94,"192,190",2.39,"250,828",3.19,"193,429",2.5,"544,810",7.05,"199,096",2.55
其他應付款項－關係人,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
其他應收款淨額,"5,719",0.07,"5,719",0.07,"3,804",0.04,"6,188",0.07,"5,800",0.07,"3,775",0.04,"3,043",0.04,"8,266",0.1,"3,817",0.05,"3,837",0.05,"1,403",0.02,"2,068",0.03,"5,087",0.06,"36,928",0.48,"19,656",0.25,"49,674",0.64
其他權益合計,"55,075",0.64,"55,075",0.64,"36,224",0.41,"36,223",0.42,"32,262",0.38,"42,128",0.5,"33,488",0.39,"21,092",0.25,"28,252",0.34,"29,700",0.36,"17,142",0.21,"20,316",0.25,"36,356",0.46,"31,701",0.41,"38,754",0.5,"36,514",0.47
其他權益－其他,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
其他流動負債,"642,500",7.49,"642,500",7.49,"606,090",6.94,"650,972",7.47,"659,337",7.68,"618,698",7.33,"655,044",7.7,"754,619",8.97,"1,074,944",12.85,"1,072,144",13.06,"1,016,493",12.2,"648,643",8.08,"617,230",7.86,"654,334",8.45,"685,419",8.87,"530,264",6.8
其他流動資產,"253,953",2.96,"253,953",2.96,"307,106",3.51,"316,568",3.63,"282,150",3.29,"284,592",3.37,"286,651",3.37,"283,337",3.37,"234,595",2.81,"234,261",2.85,"284,938",3.42,"194,880",2.43,"189,421",2.41,"189,358",2.45,"196,221",2.54,"366,356",4.7
其他非流動負債,"472,255",5.51,"472,255",5.51,"465,700",5.33,"463,114",5.31,"458,741",5.34,"458,445",5.43,"453,432",5.33,"432,971",5.15,"422,607",5.05,"424,274",5.17,"424,327",5.09,"417,581",5.2,"421,975",5.37,"139,435",1.8,"146,071",1.89,"145,966",1.87
其他非流動資產,"309,527",3.61,"309,527",3.61,"298,009",3.41,"293,941",3.37,"297,199",3.46,"301,072",3.57,"356,129",4.19,"348,071",4.14,"314,755",3.76,"318,287",3.88,"284,580",3.41,"352,405",4.39,"291,602",3.71,"278,656",3.6,"307,456",3.98,"309,962",3.97
國外營運機構財務報表換算之兌換差額,"-4,924",-0.06,"-4,924",-0.06,"-5,957",-0.07,"-5,747",-0.07,"-8,093",-0.09,"-4,445",-0.05,"-4,143",-0.05,"-5,996",-0.07,,,,,,,,,,,,,,,,
天然資源淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
存貨,"3,590,014",41.87,"3,590,014",41.87,"3,706,341",42.42,"3,732,588",42.82,"3,627,749",42.27,"3,566,335",42.23,"3,623,617",42.59,"3,647,309",43.35,"3,570,708",42.7,"3,544,763",43.19,"3,558,046",42.69,"3,591,614",44.75,"3,508,275",44.66,"3,598,001",46.48,"3,586,785",46.39,"3,574,757",45.82
工程進度請款金額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
庫藏股票,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
待出售非流動資產（淨額）,,,,,,,,,,,,,,,,,,,,,,,"6,124",0.08,,,,,,,,
待註銷股本股數（單位：股）,,,,,,,,,,,0,,0,,0,,0,,,,0,,0,,0,,,,0,,0,
應付公司債,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
