,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
停業單位損益合計,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,"-3,426",-0.3,"-40,672",-0.81,"-1,007",-0.1,"-7,775",-0.7,-154,-0.01
停業單位淨利（淨損）,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,
備供出售金融資產未實現評價損益,"11,788",0.98,"11,788",0.98,"-17,818",-1.59,-211,-0.02,"-7,850",-0.16,"6,210",0.51,"-8,942",-0.7,"-10,542",-0.85,"-4,101",-0.08,"1,353",0.1,"-12,250",-0.91,"1,554",0.14,"6,890",0.14,"-5,812",-0.58,"4,581",0.41,"-1,942",-0.18
其他利益及損失淨額,"-1,209",-0.1,"-1,209",-0.1,"-8,201",-0.73,"-5,457",-0.46,"-28,701",-0.59,"-5,346",-0.44,"50,542",3.96,"-10,389",-0.84,"27,305",0.54,"-3,164",-0.25,"-9,326",-0.69,"-5,575",-0.49,"2,524",0.05,"-3,006",-0.3,"-3,968",-0.36,"-2,808",-0.27
其他收入,"5,909",0.49,"5,909",0.49,"7,433",0.66,"6,000",0.5,"38,627",0.79,"4,200",0.34,"8,233",0.65,"13,256",1.07,"28,540",0.56,"3,960",0.31,"9,918",0.74,"13,813",1.22,"32,084",0.64,"4,292",0.43,"6,780",0.61,"8,803",0.83
其他收益,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,6,0.0
其他收益及費損淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,"-9,647",-0.72,0,0.0,14,0.0,,,100,0.01,6,0.0
其他綜合損益（淨額）,"8,578",0.71,"8,578",0.71,"-18,972",-1.69,278,0.02,"-10,140",-0.21,"12,131",0.99,"-8,322",-0.65,"-12,941",-1.05,"11,775",0.23,"1,625",0.13,"-12,436",-0.92,"3,144",0.28,114,0.0,"-4,655",-0.47,"7,050",0.64,"-2,244",-0.21
可能重分類至損益之其他項目,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,
國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,
國外營運機構財務報表換算之兌換差額,"-3,210",-0.27,"-3,210",-0.27,"-1,154",-0.1,489,0.04,"-7,152",-0.15,"5,921",0.49,620,0.05,"-2,399",-0.19,"1,239",0.02,272,0.02,-186,-0.01,"1,590",0.14,"1,426",0.03,"1,157",0.12,"2,469",0.22,-302,-0.03
基本每股盈餘,0.17,,0.17,,0.11,,0.14,,0.44,,0.18,,0.37,,0.20,,0.94,,0.39,,0.39,,0.23,,1.16,,0.26,,0.23,,0.20,
已實現銷貨（損）益,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
所得稅費用（利益）合計,"20,742",1.72,"20,742",1.72,"10,901",0.97,"14,486",1.21,"48,891",1.0,"17,869",1.47,"26,172",2.05,"19,165",1.55,"70,993",1.39,"31,941",2.47,"53,379",3.97,"17,122",1.51,"112,889",2.25,"21,416",2.15,"29,912",2.7,"17,456",1.65
採用權益法認列之關聯企業及合資損益之份額淨額,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,
推銷費用,"19,483",1.62,"19,483",1.62,"33,250",2.96,"33,140",2.77,"122,108",2.51,"31,110",2.55,"33,370",2.61,"31,355",2.54,"139,773",2.74,"29,937",2.32,"30,563",2.27,"28,008",2.47,"135,878",2.71,"26,009",2.61,"27,705",2.5,"26,355",2.5
未實現銷貨（損）益,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
本期淨利（淨損）,"63,869",5.31,"63,869",5.31,"42,224",3.76,"53,016",4.43,"162,817",3.34,"68,510",5.62,"150,408",11.79,"77,193",6.24,"367,067",7.2,"155,005",12.01,"153,855",11.43,"90,634",8.0,"462,763",9.22,"104,371",10.48,"90,393",8.15,"78,783",7.46
本期綜合損益總額,"72,447",6.02,"72,447",6.02,"23,252",2.07,"53,294",4.46,"152,677",3.14,"80,641",6.61,"142,086",11.13,"64,252",5.2,"378,842",7.43,"156,630",12.13,"141,419",10.51,"93,778",8.28,"462,877",9.22,"99,716",10.02,"97,443",8.78,"76,539",7.25
母公司業主（淨利／損）,"69,554",5.78,"69,554",5.78,"46,151",4.11,"55,302",4.62,"179,445",3.69,"73,015",5.99,"151,560",11.88,"81,378",6.58,"379,540",7.44,"156,298",12.11,"159,250",11.83,"91,780",8.1,"470,161",9.36,"103,392",10.38,"91,452",8.24,"79,013",7.49
母公司業主（綜合損益）,"79,103",6.57,"79,103",6.57,"27,300",2.43,"55,301",4.62,"171,043",3.51,"82,881",6.8,"142,920",11.2,"68,982",5.58,"390,167",7.65,"157,746",12.22,"146,692",10.9,"94,954",8.38,"470,063",9.36,"98,737",9.92,"98,505",8.88,"76,773",7.27
營業利益（損失）,"98,223",8.16,"98,223",8.16,"71,337",6.36,"83,940",7.02,"271,131",5.57,"102,969",8.44,"132,606",10.39,"108,015",8.73,"440,566",8.64,"198,438",15.37,"218,071",16.2,"113,645",10.03,"624,343",12.43,"133,019",13.36,"133,165",12.0,"98,283",9.31
營業外收入及支出合計,"-13,612",-1.13,"-13,612",-1.13,"-18,212",-1.62,"-16,438",-1.37,"-59,423",-1.22,"-16,590",-1.36,"43,974",3.45,"-11,657",-0.94,"-2,506",-0.05,"-11,492",-0.89,"-10,837",-0.81,"-2,463",-0.22,"-8,019",-0.16,"-6,225",-0.63,"-5,085",-0.46,"-1,890",-0.18
營業成本合計,"1,051,860",87.39,"1,051,860",87.39,"981,797",87.52,"1,040,150",86.98,"4,327,188",88.86,"1,052,909",86.35,"1,077,310",84.41,"1,061,583",85.84,"4,360,174",85.51,"1,021,426",79.12,"1,041,486",77.37,"957,589",84.51,"4,115,087",81.95,"804,827",80.84,"915,660",82.54,"892,483",84.55
營業收入合計,"1,203,671",100.0,"1,203,671",100.0,"1,121,734",100.0,"1,195,803",100.0,"4,869,590",100.0,"1,219,347",100.0,"1,276,260",100.0,"1,236,683",100.0,"5,099,198",100.0,"1,290,902",100.0,"1,346,059",100.0,"1,133,105",100.0,"5,021,353",100.0,"995,636",100.0,"1,109,333",100.0,"1,055,508",100.0
營業毛利（毛損）,"151,811",12.61,"151,811",12.61,"139,937",12.48,"155,653",13.02,"542,402",11.14,"166,438",13.65,"198,950",15.59,"175,100",14.16,"739,024",14.49,"269,476",20.88,"304,573",22.63,"175,516",15.49,"906,266",18.05,"190,809",19.16,"193,673",17.46,"163,025",15.45
營業毛利（毛損）淨額,"151,811",12.61,"151,811",12.61,"139,937",12.48,"155,653",13.02,"542,402",11.14,"166,438",13.65,"198,950",15.59,"175,100",14.16,"739,024",14.49,"269,476",20.88,"304,573",22.63,"175,516",15.49,"906,266",18.05,"190,809",19.16,"193,673",17.46,"163,025",15.45
營業費用合計,"53,588",4.45,"53,588",4.45,"68,600",6.12,"71,713",6.0,"271,271",5.57,"63,469",5.21,"66,344",5.2,"67,085",5.42,"298,458",5.85,"71,038",5.5,"76,855",5.71,"61,871",5.46,"281,937",5.61,"57,790",5.8,"60,608",5.46,"64,748",6.13
現金流量避險中屬有效避險部分之避險工具利益(損失),,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,
確定福利計畫之再衡量數,,,,,,,,,,,,,,,,,,,,,,,,,"-8,202",-0.16,,,,,,
確定福利計畫精算利益（損失）,,,,,,,,,"4,862",0.1,,,,,,,"14,637",0.29,,,,,,,,,,,,,,
稀釋每股盈餘,0.17,,0.17,,0.11,,0.14,,0.44,,0.18,,0.37,,0.20,,0.93,,0.38,,0.39,,0.23,,1.15,,0.25,,0.23,,0.19,
稅前淨利（淨損）,"84,611",7.03,"84,611",7.03,"53,125",4.74,"67,502",5.64,"211,708",4.35,"86,379",7.08,"176,580",13.84,"96,358",7.79,"438,060",8.59,"186,946",14.48,"207,234",15.4,"111,182",9.81,"616,324",12.27,"126,794",12.73,"128,080",11.55,"96,393",9.13
