,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,"83,749","203,781","318,677","528,911","111,015","167,216","276,792","389,988",,,,,,,,
以成本衡量之金融資產減資退回股款,,,,,,,,"6,133",,,"6,000","6,000",,"5,100","5,100","5,100"
停業單位稅前淨利（淨損）,,,,,,,,,,,"-39,452","-40,672","-1,007","-8,782","-8,936","-9,125"
償還長期借款,"-198,108","-243,377","-239,460","-332,182","-163,936","-230,487","-403,435","-456,217","-131,755","-177,442","-807,228","-891,978","-189,450","-261,450","-870,812","-1,346,862"
其他應付款增加（減少）,"-9,690","-2,602","5,176","28,861","-8,711","10,939","-3,423","-8,445","1,234","54,218","-3,946","54,419","-57,252","-52,406","-51,790","-59,213"
其他應收款（增加）減少,603,"2,212","3,176",522,"2,025","2,757","-2,466","1,983",-20,"2,414","1,749","-1,892","-31,869","-14,641","-44,721","3,118"
其他流動負債增加（減少）,"1,344","-14,131","-20,181","-26,011","3,087","3,516","1,079","8,361","-5,036","-13,982","-8,231","-3,734","-5,375",992,"-12,570","-4,652"
其他流動資產（增加）減少,"-1,507",-7,"-1,507","4,136","-3,081","-3,565",-207,-499,193,-590,"-4,527","-7,734",-45,-66,"-38,507","-20,180"
其他符合國際會計準則第七號現金及約當現金定義之項目,,,,,0,,0,0,,0,"4,879",0,,0,,0
其他籌資活動,,,,,,,"-10,000","-10,000",,,0,0,,,"-2,500","-2,500"
其他金融負債增加,"14,057","-17,033","-17,033","-17,033",0,"20,041","34,070",0,,0,0,,,0,0,
其他金融資產減少,"28,245","-28,370","-34,681",54,-76,22,-306,"49,010",144,"-49,666","43,729","52,938",148,"-6,709","-172,455","-193,119"
其他非流動資產減少,"-6,467","-14,925","-28,407","-43,473","-11,391","-93,842","-101,215","-71,651","-9,877","15,927","-57,471","-3,407","11,186","-19,597","-24,929","-38,560"
其他預付款項減少,"-6,093","1,594","2,863",0,"-6,481",,,,,,,,,,,
利息收入,-731,"-1,415","-1,932","-2,662",-639,"-1,735","-2,101","-2,894",-615,"-1,460","-2,135","-2,799",-419,-904,"-1,344","-1,975"
利息費用,"18,312","35,756","52,737","69,349","15,444","30,245","44,769","58,351","12,288","23,717","33,986","43,219","7,511","15,408","23,293","31,239"
匯率變動對現金及約當現金之影響,"-2,524","-3,138","-2,440","-5,196","4,821","6,206","4,358","1,774",401,675,"1,371",805,841,"2,232","-1,450",-259
取得不動產、廠房及設備,"-36,131","-54,326","-57,525","-84,199","-59,864","-84,725","-104,768","-192,747","-27,471","-83,661","-117,711","-210,429","-12,191","-19,091","-28,317","-38,183"
取得以成本衡量之金融資產,,,"-1,239","-1,239",,,0,0,,,0,,,,,
取得備供出售金融資產,"-1,005","-21,008","-51,006","-52,482",0,0,0,"-51,653","-47,720","-110,617","-110,617","-157,897","-56,684","-62,804","-89,789","-89,789"
呆帳費用提列（轉列收入）數,"-17,500","-17,500","-17,605","-15,293",-275,-275,-275,"1,737",0,874,874,"19,719",-9,-31,-60,"-1,462"
存入保證金增加,440,"2,090",890,746,400,-50,-50,"2,050",30,"1,330","1,530","1,884","4,324","4,277","4,110","4,982"
存出保證金減少,"1,026","1,281","1,168",632,-488,-499,"-1,129","-2,592",-156,126,-325,241,0,-152,-146,"4,943"
存貨（增加）減少,"175,729","59,491","33,244","38,609","58,788","4,132","-19,560","57,041","25,945","12,662","-20,906","62,433","-89,726","-78,510","-65,440","-116,425"
應付帳款增加（減少）,"-11,556",130,"22,186","20,223","17,229",488,"31,712","6,458","-52,303","-74,308","-55,013","-18,615","104,951","5,917","-111,198","-33,101"
應付帳款－關係人增加（減少）,"2,027","-1,032","-1,750","-1,912","3,436","7,618","2,901","4,786","-1,554","-3,700",-224,"3,270","1,129","-8,799","67,476","80,421"
應付短期票券增加,,,,,,,,,,"-4,000",,,,"100,000",,
應付短期票券減少,0,"29,000","24,000","19,000",0,0,0,"-10,000",,,"-109,000","-59,000",,,"180,000","180,000"
應付票據增加（減少）,"17,077","44,892","41,487","111,676","-95,172","-9,132","-62,813","-13,689","-78,223","-116,126","-77,409","-123,583","-34,815","42,769","35,137","-34,537"
應付票據－關係人增加（減少）,-582,"1,034","1,189",-439,989,107,"4,291",-105,"1,314","5,412",-51,-51,61,"1,050","44,756","91,186"
應收帳款（增加）減少,"-97,487","-112,446","-101,888","-128,584","43,359","-6,813","-7,034","-15,030","4,681","27,875","133,264","77,426","86,552","138,724","100,991","158,000"
應收帳款－關係人（增加）減少,11,11,-27,"-3,791",-384,"3,412","3,223","3,791",-647,-482,11,11,-324,0,-504,"-23,360"
應收票據（增加）減少,"71,496","75,667","95,043","14,210","63,383","68,249","87,072","2,962","68,395","64,253","128,518","142,543","82,846","-70,519","27,247","1,809"
應收票據－關係人（增加）減少,257,123,162,176,7,91,"-3,243","-1,803","1,704","1,903","1,903","1,704",199,199,-107,"-11,851"
應計退休金負債增加（減少）,"-3,809","-12,014","-13,400","-12,767",-696,"-5,259","-15,720","-13,547",,,,,,,,
投資活動之淨現金流入（流出）,"-9,730","-92,638","-111,596","-96,894","-72,581","-120,184","-144,266","-199,779","-17,135","-128,358","-129,191","-134,964","-26,425","-59,394","-221,603","-260,675"
折舊費用,"89,145","174,746","259,235","341,699","79,878","154,336","233,778","327,333","84,417","168,097","252,484","342,624","77,782","154,344","223,709","292,931"
持有供交易之金融負債增加（減少）,-472,-472,-472,-472,0,0,0,0,,0,,,,0,,
攤銷費用,"4,569","21,841","33,139","47,810","14,003","35,389","51,778","56,687","6,501","14,122","19,467","26,319","1,760","3,895","6,715","9,536"
支付之利息,"-18,059","-36,332","-53,246","-70,204","-15,256","-30,612","-44,800","-59,483","-12,480","-23,704","-34,207","-43,635","-7,733","-15,661","-23,376","-31,329"
收取之利息,680,"1,381","1,880","2,587","1,305","1,831","2,144","2,935",648,"1,405","2,114","3,422",447,959,"1,440","1,956"
收取之股利,,,,"6,290",,"4,265","6,536","6,546",,"5,453","12,145","12,145",,7,"5,054","5,054"
收益費損項目合計,,,,,,,,,"101,610","208,439","301,130","399,876","85,282","170,669","238,061","316,017"
期初現金及約當現金餘額,"101,033","101,033","101,033","101,033","216,573","216,573","216,573","216,573","261,107","261,107","261,107","261,107","220,129","220,129","220,129","220,129"
期末現金及約當現金餘額,"130,408","146,104","206,989","216,573","269,002","258,546","217,554","261,107","241,190","370,011","291,461","220,129","178,494","168,359","139,091","213,090"
本期現金及約當現金增加（減少）數,"29,375","45,071","105,956","115,540","52,429","41,973",981,"44,534","-19,917","108,904","30,354","-40,978","-41,635","-51,770","-81,038","-7,039"
