,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,"340,998",3.65,"339,573",3.63,"337,482",3.58,"337,071",3.55,"336,900",3.46,"339,535",3.49,"340,533",3.53,"337,341",3.51,"338,868",3.51,"338,844",3.54,"342,602",3.71,"349,465",3.72,"269,053",2.84,"265,161",2.79,"252,394",2.7,"250,890",2.72
以成本衡量之金融資產－非流動淨額,"680,380",7.28,"469,791",5.02,"469,479",4.98,"475,339",5.0,"475,339",4.88,"511,326",5.26,"551,326",5.71,"546,889",5.7,"546,889",5.67,"542,489",5.67,"539,115",5.84,"537,364",5.73,"539,276",5.68,"536,636",5.65,"532,993",5.71,"513,828",5.58
保留盈餘合計,"1,927,974",20.62,"1,887,764",20.17,"1,996,579",21.16,"1,956,322",20.6,"2,024,289",20.8,"1,946,398",20.01,"2,009,648",20.83,"1,983,703",20.66,"2,019,536",20.93,"1,929,932",20.17,"1,991,201",21.57,"2,013,075",21.46,"2,130,538",22.45,"2,034,346",21.42,"2,025,366",21.68,"2,007,235",21.8
備供出售金融資產－非流動淨額,"1,040,647",11.13,"989,623",10.57,"1,038,537",11.01,"1,131,535",11.91,"1,208,285",12.42,"1,289,977",13.26,"1,258,141",13.04,"1,243,482",12.95,"1,303,187",13.5,"1,252,050",13.08,"979,838",10.61,"999,674",10.65,"1,053,705",11.1,"972,589",10.24,"945,443",10.12,"909,763",9.88
其他應付款,"90,821",0.97,"152,641",1.63,"91,653",0.97,"120,183",1.27,"96,868",1.0,"220,987",2.27,"110,722",1.15,"114,934",1.2,"83,223",0.86,"199,065",2.08,"132,271",1.43,"189,185",2.02,"113,798",1.2,"182,552",1.92,"70,153",0.75,"74,258",0.81
其他應收款淨額,"10,886",0.12,"4,224",0.05,"1,113",0.01,"1,342",0.01,346,0.0,"5,030",0.05,292,0.0,"12,373",0.13,"86,496",0.9,"26,566",0.28,"8,242",0.09,508,0.01,"3,114",0.03,"1,892",0.02,"1,553",0.02,"9,989",0.11
其他應收款－關係人淨額,,,,,,,,,,,,,,,,,,,,,,,"22,402",0.24,"22,402",0.24,"6,643",0.07,"1,802",0.02,"1,802",0.02
其他權益合計,"736,976",7.88,"691,152",7.39,"745,815",7.91,"831,642",8.76,"915,192",9.4,"996,470",10.24,"964,883",10.0,"948,426",9.88,"1,008,307",10.45,"956,655",10.0,"678,882",7.35,"699,498",7.46,"759,833",8.01,"671,818",7.07,"649,723",6.95,"607,502",6.6
其他流動負債,"111,537",1.19,"159,417",1.7,"137,277",1.46,"145,641",1.53,"141,058",1.45,"125,019",1.29,"90,600",0.94,"105,320",1.1,"67,885",0.7,"80,939",0.85,"68,918",0.75,"119,528",1.27,"66,240",0.7,"91,059",0.96,"61,377",0.66,"20,101",0.22
其他流動資產,"168,340",1.8,"168,498",1.8,"239,593",2.54,"229,243",2.41,"209,095",2.15,"209,152",2.15,"194,793",2.02,"211,411",2.2,"229,562",2.38,"170,680",1.78,"185,540",2.01,"173,680",1.85,"261,467",2.76,"532,028",5.6,"486,126",5.2,"449,758",4.88
