,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,72104.0,150274.0,233940.0,307187.0,71566.0,155320.0,222680.0,318264.0,,,,,,,,
其他應付款增加（減少）,17468.0,64630.0,66929.0,19986.0,-2692.0,60845.0,85819.0,85562.0,-39364.0,-55833.0,-61143.0,-9035.0,-13565.0,-17849.0,-9998.0,74782.0
其他應收款（增加）減少,69000.0,58796.0,96765.0,96862.0,-554.0,-6517.0,-8246.0,-6761.0,-5206.0,3438.0,1168.0,2948.0,-12637.0,-6833.0,911.0,332.0
其他流動資產（增加）減少,-1.0,,,,,,,,,,,,,,,
其他非流動資產增加,-216.0,-10838.0,6948.0,-15512.0,,,1741.0,27151.0,,,,-8485.0,-13460.0,-9841.0,-22403.0,-30355.0
其他項目,-5686.0,-6674.0,-6202.0,-15795.0,-13464.0,-11985.0,-27101.0,-13774.0,12093.0,5435.0,4375.0,5069.0,-3956.0,3126.0,5864.0,-10916.0
利息收入,-788.0,-1205.0,-1547.0,-1724.0,-158.0,-707.0,-860.0,-1151.0,-396.0,-2618.0,-3162.0,-4893.0,-1266.0,-2762.0,-3776.0,-5584.0
利息費用,12279.0,22865.0,33256.0,43048.0,9706.0,18792.0,27009.0,34489.0,8400.0,16170.0,22882.0,30399.0,7040.0,13655.0,21298.0,29535.0
匯率變動對現金及約當現金之影響,8172.0,11237.0,9317.0,11069.0,3446.0,-224.0,3919.0,15460.0,-3324.0,-6480.0,3013.0,-1395.0,-3280.0,-6837.0,-13750.0,-10695.0
取得不動產、廠房及設備,-77985.0,-192642.0,-296866.0,-439462.0,-76128.0,-212201.0,-361712.0,-498737.0,-192411.0,-386673.0,-697424.0,-946218.0,-275786.0,-437365.0,-737208.0,-1147947.0
呆帳費用提列（轉列收入）數,-64.0,-1225.0,-1115.0,-2231.0,-45.0,-248.0,-595.0,-969.0,-3355.0,-9019.0,-8958.0,-10387.0,-15.0,564.0,521.0,373.0
存貨（增加）減少,-59215.0,104607.0,528588.0,546992.0,-60918.0,-282760.0,-202719.0,-200528.0,-533604.0,-249998.0,-94375.0,-234530.0,173418.0,156937.0,217057.0,220135.0
應付帳款增加（減少）,3734.0,-69695.0,-91430.0,-9250.0,-105968.0,-72680.0,-21972.0,-111908.0,63628.0,22200.0,124742.0,45350.0,2134.0,37014.0,9529.0,140019.0
應付票據增加（減少）,18087.0,-61859.0,-108228.0,-43165.0,-76387.0,-72353.0,7001.0,15088.0,-89472.0,-50122.0,-86058.0,-18787.0,3957.0,922.0,59158.0,130992.0
