,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,132150425.0,37.42,138858289.0,37.66,141730650.0,38.75,147683175.0,39.89,149947536.0,39.32,153073561.0,39.09,157084806.0,39.76,163982241.0,41.02,160597290.0,39.39,158470048.0,38.61,162028047.0,40.12,160483756.0,40.23,158208518.0,39.9,155782648.0,39.36,151285282.0,40.01,148760628.0,39.29
保留盈餘合計,28477139.0,8.06,22578873.0,6.12,27039141.0,7.39,28689882.0,7.75,32851249.0,8.61,25124387.0,6.42,27063620.0,6.85,28951457.0,7.24,33249329.0,8.15,27842949.0,6.78,31697909.0,7.85,32878661.0,8.24,37221730.0,9.39,30616422.0,7.74,34754113.0,9.19,35508754.0,9.38
備供出售金融資產－非流動淨額,10323287.0,2.92,7350501.0,1.99,5356638.0,1.46,6243181.0,1.69,5872458.0,1.54,6206490.0,1.58,6169790.0,1.56,7698600.0,1.93,7773697.0,1.91,6917726.0,1.69,6602676.0,1.63,6518489.0,1.63,6582185.0,1.66,5602077.0,1.42,5914772.0,1.56,5833607.0,1.54
其他應付款,39854472.0,11.29,53910522.0,14.62,43889697.0,12.0,40304885.0,10.89,40683679.0,10.67,56060791.0,14.32,45959108.0,11.63,43158840.0,10.8,43714115.0,10.72,57236167.0,13.94,47778125.0,11.83,44810717.0,11.23,43089974.0,10.87,60597763.0,15.31,43948424.0,11.62,43346808.0,11.45
其他應收款淨額,6037132.0,1.71,8659273.0,2.35,7484355.0,2.05,4277355.0,1.16,4837139.0,1.27,6014729.0,1.54,6269790.0,1.59,4801926.0,1.2,4336104.0,1.06,5997451.0,1.46,4428356.0,1.1,2829342.0,0.71,3137922.0,0.79,4800599.0,1.21,3668917.0,0.97,7125917.0,1.88
其他權益合計,3333002.0,0.94,2024723.0,0.55,541324.0,0.15,2099541.0,0.57,1977479.0,0.52,942318.0,0.24,2314556.0,0.59,4577230.0,1.15,3919354.0,0.96,2432189.0,0.59,4538989.0,1.12,2680259.0,0.67,2217296.0,0.56,275632.0,0.07,-1541164.0,-0.41,-1823199.0,-0.48
其他流動負債,12884974.0,3.65,14046780.0,3.81,14626419.0,4.0,19167967.0,5.18,16304130.0,4.28,20397183.0,5.21,21755232.0,5.51,26248476.0,6.57,21573492.0,5.29,24968734.0,6.08,25581374.0,6.33,30024358.0,7.53,28377532.0,7.16,20671329.0,5.22,23081907.0,6.11,25836841.0,6.82
其他流動資產,10026175.0,2.84,1728227.0,0.47,9971852.0,2.73,919829.0,0.25,9365014.0,2.46,1549448.0,0.4,12462204.0,3.15,4474388.0,1.12,17484171.0,4.29,6968023.0,1.7,17032635.0,4.22,11417198.0,2.86,18298325.0,4.62,10905273.0,2.76,17948652.0,4.75,10469366.0,2.77
其他非流動負債,17617447.0,4.99,17152062.0,4.65,17495738.0,4.78,18458453.0,4.99,18179794.0,4.77,18288174.0,4.67,18175444.0,4.6,18434927.0,4.61,18420499.0,4.52,18202214.0,4.43,18650789.0,4.62,18503019.0,4.64,17862282.0,4.51,17902257.0,4.52,18038101.0,4.77,19526147.0,5.16
其他非流動資產,20794273.0,5.89,22592382.0,6.13,23675683.0,6.47,24260781.0,6.55,24416372.0,6.4,24430512.0,6.24,25216334.0,6.38,27202766.0,6.81,26726587.0,6.55,26458095.0,6.45,26792260.0,6.63,26048627.0,6.53,25776467.0,6.5,24948275.0,6.3,24185054.0,6.4,22121805.0,5.84
存貨,33943733.0,9.61,35027051.0,9.5,34797885.0,9.51,36221190.0,9.78,33858969.0,8.88,33427597.0,8.54,34006787.0,8.61,34621596.0,8.66,32911180.0,8.07,31566055.0,7.69,31747859.0,7.86,34344392.0,8.61,29968141.0,7.56,29440617.0,7.44,29918711.0,7.91,30616333.0,8.09
庫藏股票,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
應付帳款,32640221.0,9.24,33391962.0,9.06,33080342.0,9.04,30902926.0,8.35,31663442.0,8.3,30496266.0,7.79,32856785.0,8.32,30834591.0,7.71,30077532.0,7.38,31755507.0,7.74,33029172.0,8.18,30007032.0,7.52,29068909.0,7.33,29848145.0,7.54,30553414.0,8.08,28608549.0,7.56
應付票據,1336177.0,0.38,1926580.0,0.52,844833.0,0.23,1685312.0,0.46,1170507.0,0.31,1585432.0,0.4,1309189.0,0.33,1271738.0,0.32,1903931.0,0.47,1199985.0,0.29,1630166.0,0.4,1288778.0,0.32,2291954.0,0.58,1483181.0,0.37,1519796.0,0.4,2275427.0,0.6
應收帳款淨額,16964323.0,4.8,19398193.0,5.26,19607262.0,5.36,17628878.0,4.76,18026796.0,4.73,19435919.0,4.96,20520257.0,5.19,16721697.0,4.18,16627672.0,4.08,18266950.0,4.45,19816904.0,4.91,16041994.0,4.02,16051903.0,4.05,17052280.0,4.31,18715892.0,4.95,15346112.0,4.05
應收票據淨額,2673806.0,0.76,2497579.0,0.68,2473535.0,0.68,2171865.0,0.59,2076475.0,0.54,1731344.0,0.44,1764825.0,0.45,2217577.0,0.55,2238331.0,0.55,1974740.0,0.48,2092720.0,0.52,1750782.0,0.44,1434084.0,0.36,1635327.0,0.41,1577294.0,0.42,1530763.0,0.4
投資性不動產淨額,20963959.0,5.94,20608043.0,5.59,20556810.0,5.62,20748124.0,5.6,20835392.0,5.46,20002988.0,5.11,19682052.0,4.98,19214889.0,4.81,19215657.0,4.71,19133617.0,4.66,19323880.0,4.78,19228673.0,4.82,19354906.0,4.88,19208356.0,4.85,19510355.0,5.16,17802717.0,4.7
普通股股本,48624744.0,13.77,48624744.0,13.19,51542229.0,14.09,51542229.0,13.92,51542229.0,13.52,51542229.0,13.16,54634763.0,13.83,54634763.0,13.67,54634763.0,13.4,54634763.0,13.31,56820154.0,14.07,56820154.0,14.24,56820154.0,14.33,56820154.0,14.36,56820154.0,15.03,56820154.0,15.01
未分配盈餘（或待彌補虧損）,14333786.0,4.06,7195843.0,1.95,11656111.0,3.19,13307471.0,3.59,17468838.0,4.58,8465552.0,2.16,10404785.0,2.63,12293241.0,3.08,16591113.0,4.07,10072450.0,2.45,13927410.0,3.45,15109863.0,3.79,19452932.0,4.91,11436840.0,2.89,15574531.0,4.12,16329791.0,4.31
本期所得稅負債,,,,,,,,,,,,,,,,,3110313.0,0.76,1992823.0,0.49,1440248.0,0.36,1904353.0,0.48,3133508.0,0.79,2241640.0,0.57,2511716.0,0.66,2931106.0,0.77
權益總計,134088024.0,37.97,128253637.0,34.78,132521851.0,36.23,138066611.0,37.29,143862748.0,37.72,137970983.0,35.23,143356633.0,36.29,149601543.0,37.42,156130138.0,38.29,147658166.0,35.97,156803828.0,38.82,155689737.0,39.03,161462195.0,40.73,148388255.0,37.49,151491180.0,40.07,152700266.0,40.33
歸屬於母公司業主之權益合計,84389337.0,23.9,80120358.0,21.73,83063665.0,22.71,86207324.0,23.29,90251589.0,23.67,84545966.0,21.59,87855520.0,22.24,92011940.0,23.02,95731381.0,23.48,91041212.0,22.18,96997653.0,24.02,96336246.0,24.15,100258375.0,25.29,91703928.0,23.17,93913718.0,24.84,94405847.0,24.94
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
法定盈餘公積,10095973.0,2.86,11336707.0,3.07,11336707.0,3.1,11336707.0,3.06,11336707.0,2.97,12613131.0,3.22,12613131.0,3.19,12613131.0,3.16,12613131.0,3.09,13725414.0,3.34,13725414.0,3.4,13725414.0,3.44,13725414.0,3.46,15136198.0,3.82,15136198.0,4.0,15136198.0,4.0
流動負債合計,122801105.0,34.78,140801664.0,38.18,134532086.0,36.78,130363565.0,35.21,139555277.0,36.59,153674379.0,39.24,150671507.0,38.14,143379331.0,35.87,149028678.0,36.55,166674936.0,40.61,156299653.0,38.7,150426162.0,37.71,146429565.0,36.93,159125374.0,40.21,139795081.0,36.98,140997934.0,37.24
流動資產合計,130667160.0,37.0,139201130.0,37.75,134035616.0,36.65,129913360.0,35.09,137440200.0,36.04,145442718.0,37.14,143569409.0,36.34,137311309.0,34.35,145993261.0,35.81,153176240.0,37.32,141251915.0,34.97,138480338.0,34.71,137459969.0,34.67,147130618.0,37.18,133122301.0,35.21,139819001.0,36.93
無形資產,2948682.0,0.84,2964439.0,0.8,2993172.0,0.82,2828190.0,0.76,2794166.0,0.73,2761512.0,0.71,2839706.0,0.72,2866712.0,0.72,2850915.0,0.7,2858536.0,0.7,2860269.0,0.71,2769998.0,0.69,2769845.0,0.7,2731928.0,0.69,2647533.0,0.7,2569940.0,0.68
特別盈餘公積,4047380.0,1.15,4046323.0,1.1,4046323.0,1.11,4045704.0,1.09,4045704.0,1.06,4045704.0,1.03,4045704.0,1.02,4045085.0,1.01,4045085.0,0.99,4045085.0,0.99,4045085.0,1.0,4043384.0,1.01,4043384.0,1.02,4043384.0,1.02,4043384.0,1.07,4042765.0,1.07
