,金額_x,%,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,,,133921.0,352243.0,404757.0,100611.0,201965.0,326907.0,397020.0,,,,,,,,
其他應付款增加（減少）,,,-50198.0,6430.0,-31166.0,-57435.0,45871.0,94034.0,9018.0,-81749.0,29543.0,137569.0,84096.0,-45295.0,41923.0,64866.0,24159.0
其他應收款（增加）減少,,,7769.0,-13324.0,34881.0,-2572.0,-3233.0,-6792.0,-65825.0,49033.0,39876.0,-252584.0,-250980.0,-2622.0,-3247.0,-456.0,6502.0
其他非流動資產增加,,,-12104.0,-14798.0,,5415.0,-1500.0,0.0,,0.0,-7754.0,0.0,,0.0,-1997.0,-3932.0,
其他項目,,,,41407.0,41494.0,,,0.0,0.0,,,0.0,0.0,109.0,106.0,102.0,101.0
利息收入,,,-3459.0,-6590.0,-11865.0,-3792.0,-7831.0,-13482.0,-19453.0,-4812.0,-9497.0,-11210.0,-12070.0,-238.0,-985.0,-5460.0,-1870.0
利息費用,,,78273.0,120237.0,161913.0,41326.0,86248.0,129108.0,171248.0,42516.0,83278.0,122268.0,148589.0,29393.0,54539.0,97076.0,113343.0
匯率變動對現金及約當現金之影響,,,27856.0,27457.0,34238.0,24037.0,17844.0,40959.0,46791.0,3434.0,-9200.0,16718.0,19848.0,-9088.0,9673.0,4768.0,40178.0
取得不動產、廠房及設備,,,-452164.0,-673643.0,-851234.0,-209678.0,-313281.0,-560457.0,-694286.0,-78901.0,-95485.0,-107340.0,-175408.0,-12759.0,-34225.0,-84526.0,-97318.0
呆帳費用提列（轉列收入）數,,,-4282.0,-13.0,-4136.0,-257.0,1931.0,5484.0,3498.0,-522.0,523.0,5125.0,972.0,821.0,2798.0,5615.0,4934.0
存入保證金增加,,,,,,,,,,,,,,,0.0,0.0,0.0
存出保證金增加,,,,,-48471.0,,,,0.0,,,,0.0,3723.0,,,0.0
存貨（增加）減少,,,-220543.0,-63541.0,-83995.0,64731.0,-17013.0,89301.0,-17481.0,52393.0,-144306.0,121251.0,20666.0,4659.0,-121926.0,86168.0,48128.0
應付帳款增加（減少）,,,49642.0,-54541.0,-47897.0,53628.0,166844.0,99679.0,38956.0,28026.0,120060.0,239854.0,196653.0,-255.0,71145.0,109301.0,50736.0
應付票據增加（減少）,,,101700.0,113031.0,-24505.0,-5736.0,83792.0,138832.0,33195.0,-30059.0,64744.0,50983.0,9002.0,9076.0,38542.0,37088.0,8108.0
應收帳款（增加）減少,,,-102722.0,-329154.0,187025.0,-24414.0,-245373.0,-478770.0,11155.0,-166005.0,-277000.0,-687709.0,-72952.0,-91689.0,-263531.0,-526288.0,-65896.0
應收票據（增加）減少,,,19745.0,-36343.0,53112.0,-23785.0,-29170.0,-70581.0,3047.0,-29547.0,-54367.0,-95804.0,-24814.0,5590.0,-15438.0,-54761.0,11347.0
應計退休金負債增加（減少）,,,-11164.0,-15102.0,-29890.0,1396.0,-2313.0,-4369.0,-1822.0,,,,,,,,
投資活動之淨現金流入（流出）,,,-735632.0,-1123179.0,-1271675.0,-194880.0,-333577.0,-564827.0,-746943.0,-146181.0,-153621.0,182593.0,43118.0,-3691.0,-81585.0,-215558.0,-251773.0
折舊費用,,,126073.0,196865.0,291057.0,75970.0,147841.0,221209.0,299618.0,76254.0,150123.0,229609.0,273972.0,34913.0,67860.0,101186.0,137123.0
攤銷費用,,,6993.0,7924.0,6079.0,1475.0,3133.0,4445.0,6107.0,1622.0,3199.0,5029.0,6551.0,1752.0,3011.0,4638.0,6150.0
支付之利息,,,-59397.0,-92375.0,-123562.0,-32307.0,-66094.0,-103667.0,-144050.0,-34658.0,-72880.0,-110067.0,-130101.0,-31363.0,-56261.0,-98072.0,-131876.0
收取之利息,,,2719.0,4196.0,11794.0,1943.0,6427.0,14714.0,20685.0,2789.0,6977.0,9678.0,10658.0,238.0,985.0,5460.0,1906.0
收益費損項目合計,,,,,,,,,,86663.0,195576.0,109414.0,3034.0,72473.0,115513.0,165824.0,-51153.0
期初現金及約當現金餘額,,,1651637.0,1651637.0,1651637.0,1638477.0,1638477.0,1638477.0,1638477.0,928230.0,928230.0,928230.0,928230.0,636247.0,636247.0,636247.0,636247.0
期末現金及約當現金餘額,,,1421236.0,1726211.0,1638477.0,1408155.0,1382063.0,1183172.0,928230.0,736187.0,657057.0,548352.0,636247.0,502522.0,402943.0,483601.0,613014.0
本期現金及約當現金增加（減少）數,,,-230401.0,74574.0,-13160.0,-230322.0,-256414.0,-455305.0,-710247.0,-192043.0,-271173.0,-379878.0,-291983.0,-133725.0,-233304.0,-152646.0,-23233.0
本期稅前淨利（淨損）,,,14491.0,-69774.0,-136955.0,-169492.0,-301817.0,-337841.0,-395397.0,-79451.0,-133295.0,102307.0,70844.0,-30268.0,-80703.0,-44357.0,129285.0
淨確定福利負債增加(減少),,,,,,,,,,-6572.0,-5323.0,-9299.0,-23269.0,-24450.0,-68242.0,-110056.0,-124202.0
營業活動之淨現金流入（流出）,,,140601.0,62879.0,253324.0,-151975.0,-353965.0,-220930.0,-141764.0,-192442.0,-206155.0,-353180.0,5344.0,-48227.0,-257855.0,-220113.0,126013.0
營運產生之現金流入（流出）,,,194244.0,148278.0,353736.0,-117691.0,-279931.0,-121767.0,-15943.0,-162286.0,-141888.0,-249892.0,-14959.0,-49057.0,-262208.0,-223598.0,123549.0
短期借款增加,,,-50400.0,457618.0,167100.0,293700.0,467500.0,423198.0,309824.0,302330.0,102343.0,1176.0,-78424.0,77275.0,163982.0,569827.0,467934.0
籌資活動之淨現金流入（流出）,,,336774.0,1107417.0,970953.0,92496.0,413284.0,289493.0,131669.0,143146.0,97803.0,-226009.0,-360293.0,-72719.0,96463.0,278257.0,62349.0
繼續營業單位稅前淨利（淨損）,,,14491.0,-69774.0,-136955.0,-169492.0,-301817.0,-337841.0,-395397.0,-79451.0,-133295.0,68194.0,56977.0,-30268.0,-80703.0,-44357.0,129285.0
